Id,H[mm],Theta
89,70,0.5
89,100,0.5
89,500,0.48
89,1000,0.46
89,2000,0.43
89,4000,0.4
89,10000,0.36
89,150000,0.16
90,40,0.5
90,70,0.5
90,100,0.5
90,500,0.48
90,1000,0.46
90,2000,0.43
90,4000,0.4
90,10000,0.36
90,150000,0.16
91,40,0.5
91,70,0.5
91,100,0.5
91,500,0.49
91,1000,0.46
91,2000,0.43
91,4000,0.4
91,10000,0.35
91,150000,0.19
92,40,0.5
92,70,0.5
92,100,0.5
92,500,0.48
92,1000,0.46
92,2000,0.43
92,4000,0.4
92,10000,0.36
92,150000,0.16
93,40,0.5
93,70,0.5
93,100,0.5
93,500,0.49
93,1000,0.46
93,2000,0.43
93,4000,0.4
93,10000,0.35
93,150000,0.19
94,40,0.54
94,70,0.53
94,100,0.53
94,500,0.49
94,1000,0.46
94,2000,0.42
94,4000,0.4
94,10000,0.35
94,150000,0.18
95,40,0.51
95,70,0.51
95,100,0.51
95,500,0.49
95,1000,0.47
95,2000,0.43
95,4000,0.4
95,10000,0.35
95,150000,0.2
96,40,0.51
96,70,0.51
96,100,0.51
96,500,0.49
96,1000,0.47
96,2000,0.43
96,4000,0.4
96,10000,0.35
96,150000,0.2
97,40,0.54
97,70,0.53
97,100,0.53
97,500,0.49
97,1000,0.46
97,2000,0.42
97,4000,0.4
97,10000,0.35
97,150000,0.18
98,40,0.54
98,70,0.53
98,100,0.53
98,500,0.49
98,1000,0.46
98,2000,0.42
98,4000,0.4
98,10000,0.35
98,150000,0.18
99,40,0.51
99,70,0.51
99,100,0.51
99,500,0.49
99,1000,0.47
99,2000,0.43
99,4000,0.4
99,10000,0.35
99,150000,0.2
100,40,0.51
100,70,0.51
100,100,0.51
100,500,0.49
100,1000,0.47
100,2000,0.43
100,4000,0.4
100,10000,0.35
100,150000,0.2
101,40,0.54
101,70,0.53
101,100,0.53
101,500,0.49
101,1000,0.46
101,2000,0.42
101,4000,0.4
101,10000,0.35
101,150000,0.18
102,40,0.51
102,70,0.51
102,100,0.51
102,500,0.49
102,1000,0.46
102,2000,0.42
102,4000,0.39
102,10000,0.33
102,150000,0.22
103,40,0.49
103,70,0.49
103,100,0.49
103,500,0.47
103,1000,0.45
103,2000,0.41
103,4000,0.38
103,10000,0.34
103,150000,0.22
104,40,0.49
104,70,0.49
104,100,0.49
104,500,0.47
104,1000,0.45
104,2000,0.41
104,4000,0.38
104,10000,0.34
104,150000,0.22
105,40,0.51
105,70,0.51
105,100,0.51
105,500,0.49
105,1000,0.46
105,2000,0.42
105,4000,0.39
105,10000,0.33
105,150000,0.22
106,40,0.51
106,70,0.51
106,100,0.51
106,500,0.49
106,1000,0.46
106,2000,0.42
106,4000,0.39
106,10000,0.33
106,150000,0.22
107,40,0.49
107,70,0.49
107,100,0.49
107,500,0.47
107,1000,0.45
107,2000,0.41
107,4000,0.38
107,10000,0.34
107,150000,0.22
108,40,0.53
108,70,0.53
108,100,0.52
108,500,0.49
108,1000,0.46
108,2000,0.42
108,4000,0.39
108,10000,0.34
108,150000,0.19
109,40,0.53
109,70,0.53
109,100,0.52
109,500,0.49
109,1000,0.46
109,2000,0.42
109,4000,0.39
109,10000,0.34
109,150000,0.19
110,40,0.53
110,70,0.53
110,100,0.53
110,500,0.48
110,1000,0.45
110,2000,0.41
110,4000,0.37
110,10000,0.32
110,150000,0.2
111,40,0.53
111,70,0.53
111,100,0.53
111,500,0.48
111,1000,0.45
111,2000,0.41
111,4000,0.37
111,10000,0.32
111,150000,0.2
112,40,0.53
112,70,0.53
112,100,0.53
112,500,0.48
112,1000,0.45
112,2000,0.41
112,4000,0.37
112,10000,0.32
112,150000,0.2
113,40,0.53
113,70,0.53
113,100,0.52
113,500,0.49
113,1000,0.46
113,2000,0.42
113,4000,0.39
113,10000,0.34
113,150000,0.19
114,40,0.53
114,70,0.53
114,100,0.52
114,500,0.49
114,1000,0.46
114,2000,0.42
114,4000,0.39
114,10000,0.34
114,150000,0.19
115,40,0.58
115,70,0.58
115,100,0.58
115,500,0.55
115,1000,0.53
115,2000,0.48
115,4000,0.46
115,10000,0.41
115,150000,0.19
116,40,0.51
116,70,0.5
116,100,0.5
116,500,0.45
116,1000,0.43
116,2000,0.4
116,4000,0.37
116,10000,0.31
116,150000,0.19
117,40,0.51
117,70,0.5
117,100,0.5
117,500,0.45
117,1000,0.43
117,2000,0.4
117,4000,0.37
117,10000,0.31
117,150000,0.19
118,40,0.51
118,70,0.5
118,100,0.5
118,500,0.45
118,1000,0.43
118,2000,0.4
118,4000,0.37
118,10000,0.31
118,150000,0.19
119,40,0.58
119,70,0.58
119,100,0.58
119,500,0.55
119,1000,0.53
119,2000,0.48
119,4000,0.46
119,10000,0.41
119,150000,0.19
120,40,0.58
120,70,0.58
120,100,0.58
120,500,0.55
120,1000,0.53
120,2000,0.48
120,4000,0.46
120,10000,0.41
120,150000,0.19
121,40,0.53
121,70,0.51
121,100,0.51
121,500,0.46
121,1000,0.44
121,2000,0.4
121,4000,0.37
121,10000,0.32
121,150000,0.2
122,40,0.53
122,70,0.51
122,100,0.51
122,500,0.46
122,1000,0.44
122,2000,0.4
122,4000,0.37
122,10000,0.32
122,150000,0.2
123,40,0.53
123,70,0.53
123,100,0.53
123,500,0.49
123,1000,0.46
123,2000,0.43
123,4000,0.4
123,10000,0.35
123,150000,0.19
124,40,0.53
124,70,0.53
124,100,0.53
124,500,0.49
124,1000,0.46
124,2000,0.43
124,4000,0.4
124,10000,0.35
124,150000,0.19
125,40,0.53
125,70,0.51
125,100,0.51
125,500,0.46
125,1000,0.44
125,2000,0.4
125,4000,0.37
125,10000,0.32
125,150000,0.2
126,40,0.53
126,70,0.53
126,100,0.53
126,500,0.49
126,1000,0.46
126,2000,0.43
126,4000,0.4
126,10000,0.35
126,150000,0.19
127,40,0.5
127,70,0.5
127,100,0.5
127,500,0.49
127,1000,0.46
127,2000,0.43
127,4000,0.4
127,10000,0.35
127,150000,0.19
128,40,0.5
128,70,0.5
