Id,Diameter[mm],Cumul_Psd
125,0.2,0.99
125,0.6,1
125,2,1
126,0.002,0.26
126,0.06,0.94
126,0.2,0.99
126,0.6,1
126,2,1
127,0.002,0.26
127,0.06,0.92
127,0.2,0.98
127,0.6,0.99
127,2,1
128,0.002,0.28
128,0.06,0.92
128,0.2,0.98
128,0.6,0.99
128,2,1
129,0.002,0.26
129,0.06,0.92
129,0.2,0.98
129,0.6,0.99
129,2,1
130,0.002,-999
130,0.06,-999
130,0.2,-999
130,0.6,-999
130,2,-999
131,0.002,0.28
131,0.06,0.92
131,0.2,0.98
131,0.6,0.99
131,2,1
132,0.002,0.26
132,0.06,0.92
132,0.2,0.98
132,0.6,0.99
132,2,1
133,0.002,0.26
133,0.06,0.94
133,0.2,0.99
133,0.6,1
133,2,1
134,0.002,0.28
134,0.06,0.94
134,0.2,0.99
134,0.6,1
134,2,1
135,0.002,0.28
135,0.06,0.94
135,0.2,0.99
135,0.6,1
135,2,1
136,0.002,0.26
136,0.06,0.94
136,0.2,0.99
136,0.6,1
136,2,1
137,0.002,0.28
137,0.06,0.94
137,0.2,0.99
137,0.6,1
137,2,1
138,0.002,0.26
138,0.06,0.94
138,0.2,0.99
138,0.6,1
138,2,1
139,0.002,0.28
139,0.06,0.93
139,0.2,0.98
139,0.6,0.99
139,2,1
140,0.002,0.27
140,0.06,0.89
140,0.2,0.95
140,0.6,0.97
140,2,1
141,0.002,0.28
141,0.06,0.93
141,0.2,0.98
141,0.6,0.99
141,2,1
142,0.002,0.27
142,0.06,0.89
142,0.2,0.95
142,0.6,0.97
142,2,1
143,0.002,0.28
143,0.06,0.93
143,0.2,0.98
143,0.6,0.99
143,2,1
144,0.002,0.27
144,0.06,0.89
144,0.2,0.95
144,0.6,0.97
144,2,1
145,0.002,0.26
145,0.06,0.94
145,0.2,0.99
145,0.6,1
145,2,1
146,0.002,0.26
146,0.06,0.93
146,0.2,0.99
146,0.6,1
146,2,1
147,0.002,0.25
147,0.06,0.93
147,0.2,0.98
147,0.6,0.99
147,2,1
148,0.002,0.25
148,0.06,0.93
148,0.2,0.99
148,0.6,1
148,2,1
149,0.002,0.27
149,0.06,0.95
149,0.2,1
149,0.6,1
149,2,1
150,0.002,0.27
150,0.06,0.94
150,0.2,0.99
150,0.6,1
150,2,1
151,0.002,0.27
151,0.06,0.95
151,0.2,1
151,0.6,1
151,2,1
152,0.002,0.27
152,0.06,0.94
152,0.2,0.99
152,0.6,1
152,2,1
153,0.002,0.26
153,0.06,0.94
153,0.2,0.99
153,0.6,1
153,2,1
154,0.002,0.26
154,0.06,0.93
154,0.2,0.99
154,0.6,1
154,2,1
155,0.002,0.26
155,0.06,0.94
155,0.2,0.99
155,0.6,1
155,2,1
156,0.002,0.26
156,0.06,0.93
156,0.2,0.99
156,0.6,1
156,2,1
157,0.002,0.25
157,0.06,0.93
157,0.2,0.99
157,0.6,1
157,2,1
158,0.002,0.25
158,0.06,0.93
158,0.2,0.98
158,0.6,0.99
158,2,1
159,0.002,0.25
159,0.06,0.93
159,0.2,0.98
159,0.6,0.99
159,2,1
160,0.002,0.25
160,0.06,0.93
160,0.2,0.99
160,0.6,1
160,2,1
161,0.002,0.27
161,0.06,0.95
161,0.2,1
161,0.6,1
161,2,1
162,0.002,0.27
162,0.06,0.94
162,0.2,0.99
162,0.6,1
162,2,1
163,0.002,0.27
163,0.06,0.95
163,0.2,1
163,0.6,1
163,2,1
164,0.002,0.26
164,0.06,0.94
164,0.2,0.99
164,0.6,1
164,2,1
