Id,Theta_Ini[-],Thetas[-],RingRadius[mm],Lambda[-],Beta[-]
149,0.1858,0.5233,150,0.75,0.6
150,0.23375,0.5433,150,0.75,0.6
151,0.161575,0.5173,150,0.75,0.6
152,0.172575,0.5012,150,0.75,0.6
153,0.1685125,0.5093,150,0.75,0.6
154,0.1753625,0.5353,150,0.75,0.6
155,0.1792875,0.5073,150,0.75,0.6
156,0.2166,0.5032,150,0.75,0.6
157,0.2194125,0.5293,150,0.75,0.6
158,0.1799,0.5093,150,0.75,0.6
159,0.16505,0.5373,150,0.75,0.6
160,0.16945,0.4712,150,0.75,0.6
161,0.1732,0.4672,150,0.75,0.6
162,0.1864,0.5113,150,0.75,0.6
163,0.3951,0.4972,150,0.75,0.6
164,0.20865,0.4142,100,0.75,0.6
