Id,BulkDensitySoil[g_cm-3],ParticleDensity_Fine[g_cm-3],Density_Rock[g_cm-3],Rock[0_1]
264,0.784177363,2.68,2.65,0
265,1.310966462,2.66,2.65,0
266,1.280264145,2.68,2.65,0
267,1.165329785,2.69,2.65,0
268,1.279902779,2.69,2.65,0
269,1.11818582,2.7,2.65,0
270,0.924101937,2.71,2.65,0
271,1.148703232,2.62,2.65,0
272,1.249996125,2.67,2.65,0
273,1.255302203,2.68,2.65,0
274,1.312623012,2.69,2.65,0
275,1.009636239,2.69,2.65,0
276,1.02247069,2.71,2.65,0
277,1.271549228,2.66,2.65,0
278,1.346693325,2.69,2.65,0
279,0.748399209,2.68,2.65,0
280,0.850935351,2.7,2.65,0
281,1.045108225,2.71,2.65,0
282,1.665443923,2.72,2.65,0
283,0.907666976,2.6,2.65,0
284,1.196085469,2.68,2.65,0
285,1.085764064,2.68,2.65,0
286,1.02405829,2.7,2.65,0
287,0.902022124,2.72,2.65,0
288,0.418813698,2.72,2.65,0
289,1.010708054,2.64,2.65,0
290,1.298577091,2.67,2.65,0
291,1.093956559,2.7,2.65,0
292,1.53445112,2.69,2.65,0
293,1.017820854,2.7,2.65,0
294,0.821564878,2.69,2.65,0
295,1.200004469,2.63,2.65,0
296,1.26095102,2.68,2.65,0
297,1.388853437,2.69,2.65,0
298,1.079422503,2.69,2.65,0
299,1.047068218,2.7,2.65,0
300,0.905928115,2.71,2.65,0
301,1.008983164,2.54,2.65,0
302,1.112164151,2.57,2.65,0
303,0.920952643,2.6,2.65,0
304,1.484019945,2.63,2.65,0
305,1.039109678,2.63,2.65,0
306,1.46144658,2.63,2.65,0
307,1.004070381,2.51,2.65,0
308,1.082476791,2.51,2.65,0
309,1.1132246,2.53,2.65,0
310,0.788893869,2.58,2.65,0
311,1.239156589,2.62,2.65,0
312,1.961110427,2.65,2.65,0
