Id,Theta,BulkDensitySoil[g_cm-3],ParticleDensity_Fine[g_cm-3],Density_Rock[g_cm-3],Rock%
163,0.488435794,1.342258164,2.62,2.65,0
164,0.5111842,1.281585637,2.62,2.65,0
165,0.450696282,1.459772017,2.66,2.65,0
166,0.437999863,1.537937953,2.74,2.65,0
167,0.38715453,1.644428548,2.68,2.65,0
168,0.547325416,1.144994204,2.53,2.65,0
169,0.505932619,1.290893504,2.61,2.65,0
170,0.453707732,1.442070399,2.64,2.65,0
171,0.427455344,1.542617209,2.69,2.65,0
172,0.442843207,1.510458575,2.71,2.65,0
173,0.448850304,1.477971379,2.68,2.65,0
174,0.545438208,1.161595147,2.56,2.65,0
175,0.511542233,1.249452171,2.56,2.65,0
176,0.514140361,1.278847366,2.63,2.65,0
177,0.464314172,1.428448775,2.67,2.65,0
178,0.4071511,1.598541193,2.7,2.65,0
179,0.557042564,1.150653443,2.6,2.65,0
180,0.489100224,1.34767325,2.64,2.65,0
181,0.458882517,1.434820021,2.65,2.65,0
182,0.445199655,1.499273448,2.7,2.65,0
183,0.443275608,1.517851203,2.73,2.65,0
184,0.409339416,1.623791425,2.75,2.65,0
185,0.57980054,1.105347654,2.63,2.65,0
186,0.516094644,1.28230302,2.65,2.65,0
187,0.460661759,1.460843495,2.71,2.65,0
188,0.414949392,1.589683019,2.72,2.65,0
189,0.399771,1.636163177,2.73,2.65,0
190,0.453274528,1.484287959,2.71,2.65,0
191,0.498266262,1.269136955,2.53,2.65,0
192,0.43480234,1.457878093,2.58,2.65,0
193,0.43448878,1.506168923,2.66,2.65,0
194,0.413563087,1.567381546,2.67,2.65,0
195,0.37500077,1.668452465,2.67,2.65,0
196,0.340674975,1.773856834,2.69,2.65,0
197,0.51929292,1.235351568,2.57,2.65,0
198,0.441677374,1.45919862,2.61,2.65,0
199,0.411596795,1.554486304,2.64,2.65,0
200,0.390320271,1.63162833,2.68,2.65,0
201,0.379664395,1.668938512,2.69,2.65,0
202,0.367284143,1.693593379,2.68,2.65,0
203,0.479680608,1.374662431,2.64,2.65,0
204,0.478258913,1.365416892,2.62,2.65,0
205,0.416021086,1.559603949,2.67,2.65,0
206,0.394620569,1.628863279,2.69,2.65,0
207,0.374972286,1.693343549,2.71,2.65,0
208,0.377050525,1.674590877,2.69,2.65,0
209,0.496922922,1.316984708,2.62,2.65,0
210,0.423701,1.511647963,2.62,2.65,0
211,0.480817622,1.385772693,2.67,2.65,0
212,0.39303942,1.613261804,2.66,2.65,0
213,0.358464134,1.719322007,2.68,2.65,0
214,0.387371151,1.663730227,2.72,2.65,0
215,0.56365751,1.117081515,2.56,2.65,0
216,0.555978,1.130486488,2.55,2.65,0
217,0.564425088,1.168064054,2.68,2.65,0
218,0.540471526,1.233393106,2.68,2.65,0
