Id2,BulkDensity_FineEarth_RockFragment_g_cm3,BulkDensity_FineEarth_g_cm3,ParticleDensity_FineEarth_g_cm3,Density_RockFragment_g_cm3,RockFragment_0_1,RockFragment_Rlarge_mm,RockFragment_Rsmall_mm,RockFragment_Wettability_mm_mm2
117,1.647164251,1.647164251,2.68,2.65,0,5,2,0.01
118,1.654397573,1.654397573,2.69,2.65,0,5,2,0.01
119,1.696052875,1.696052875,2.68,2.65,0,5,2,0.01
120,1.345523252,1.345523252,2.54,2.65,0,5,2,0.01
121,1.482168529,1.482168529,2.6,2.65,0,5,2,0.01
122,1.476308941,1.476308941,2.63,2.65,0,5,2,0.01
123,1.553860213,1.553860213,2.66,2.65,0,5,2,0.01
124,1.625331068,1.625331068,2.67,2.65,0,5,2,0.01
125,1.531880887,1.531880887,2.67,2.65,0,5,2,0.01
126,1.282333115,1.282333115,2.59,2.65,0,5,2,0.01
127,1.434858885,1.434858885,2.63,2.65,0,5,2,0.01
128,1.397240693,1.397240693,2.65,2.65,0,5,2,0.01
129,1.428455951,1.428455951,2.65,2.65,0,5,2,0.01
130,1.465871789,1.465871789,2.68,2.65,0,5,2,0.01
131,1.582892152,1.582892152,2.68,2.65,0,5,2,0.01
132,1.124784603,1.124784603,2.54,2.65,0,5,2,0.01
133,1.275650633,1.275650633,2.59,2.65,0,5,2,0.01
134,1.388042966,1.388042966,2.65,2.65,0,5,2,0.01
135,1.521782225,1.521782225,2.66,2.65,0,5,2,0.01
136,1.525566712,1.525566712,2.72,2.65,0,5,2,0.01
137,1.568302807,1.568302807,2.71,2.65,0,5,2,0.01
138,1.053213692,1.053213692,2.57,2.65,0,5,2,0.01
139,1.279103532,1.279103532,2.61,2.65,0,5,2,0.01
140,1.299067448,1.299067448,2.65,2.65,0,5,2,0.01
141,1.512665749,1.512665749,2.67,2.65,0,5,2,0.01
142,1.560496201,1.560496201,2.72,2.65,0,5,2,0.01
143,1.630770102,1.630770102,2.72,2.65,0,5,2,0.01
144,1.205515245,1.205515245,2.58,2.65,0,5,2,0.01
145,1.310989469,1.310989469,2.63,2.65,0,5,2,0.01
146,1.35837177,1.35837177,2.66,2.65,0,5,2,0.01
147,1.379406847,1.379406847,2.67,2.65,0,5,2,0.01
148,1.479509986,1.479509986,2.69,2.65,0,5,2,0.01
149,1.519959614,1.519959614,2.68,2.65,0,5,2,0.01
150,1.211522509,1.211522509,2.56,2.65,0,5,2,0.01
151,1.351347935,1.351347935,2.62,2.65,0,5,2,0.01
152,1.37564325,1.37564325,2.65,2.65,0,5,2,0.01
153,1.376679381,1.376679381,2.66,2.65,0,5,2,0.01
154,1.444928869,1.444928869,2.69,2.65,0,5,2,0.01
155,1.552957571,1.552957571,2.68,2.65,0,5,2,0.01
156,1.222616723,1.222616723,2.55,2.65,0,5,2,0.01
157,1.449545583,1.449545583,2.59,2.65,0,5,2,0.01
158,1.337763846,1.337763846,2.59,2.65,0,5,2,0.01
159,1.433545256,1.433545256,2.7,2.65,0,5,2,0.01
160,1.508991827,1.508991827,2.67,2.65,0,5,2,0.01
161,1.6396863,1.6396863,2.7,2.65,0,5,2,0.01
162,1.038805923,1.038805923,2.58,2.65,0,5,2,0.01
163,1.342258164,1.342258164,2.62,2.65,0,5,2,0.01
164,1.281585637,1.281585637,2.62,2.65,0,5,2,0.01
165,1.459772017,1.459772017,2.66,2.65,0,5,2,0.01
166,1.537937953,1.537937953,2.74,2.65,0,5,2,0.01
167,1.644428548,1.644428548,2.68,2.65,0,5,2,0.01
168,1.144994204,1.144994204,2.53,2.65,0,5,2,0.01
169,1.290893504,1.290893504,2.61,2.65,0,5,2,0.01
170,1.442070399,1.442070399,2.64,2.65,0,5,2,0.01
171,1.542617209,1.542617209,2.69,2.65,0,5,2,0.01
172,1.510458575,1.510458575,2.71,2.65,0,5,2,0.01
173,1.477971379,1.477971379,2.68,2.65,0,5,2,0.01
174,1.161595147,1.161595147,2.56,2.65,0,5,2,0.01
175,1.249452171,1.249452171,2.56,2.65,0,5,2,0.01
176,1.278847366,1.278847366,2.63,2.65,0,5,2,0.01
177,1.428448775,1.428448775,2.67,2.65,0,5,2,0.01
178,1.598541193,1.598541193,2.7,2.65,0,5,2,0.01
179,1.150653443,1.150653443,2.6,2.65,0,5,2,0.01
180,1.34767325,1.34767325,2.64,2.65,0,5,2,0.01
181,1.434820021,1.434820021,2.65,2.65,0,5,2,0.01
182,1.499273448,1.499273448,2.7,2.65,0,5,2,0.01
183,1.517851203,1.517851203,2.73,2.65,0,5,2,0.01
184,1.623791425,1.623791425,2.75,2.65,0,5,2,0.01
185,1.105347654,1.105347654,2.63,2.65,0,5,2,0.01
186,1.28230302,1.28230302,2.65,2.65,0,5,2,0.01
187,1.460843495,1.460843495,2.71,2.65,0,5,2,0.01
188,1.589683019,1.589683019,2.72,2.65,0,5,2,0.01
189,1.636163177,1.636163177,2.73,2.65,0,5,2,0.01
190,1.484287959,1.484287959,2.71,2.65,0,5,2,0.01
191,1.269136955,1.269136955,2.53,2.65,0,5,2,0.01
192,1.457878093,1.457878093,2.58,2.65,0,5,2,0.01
193,1.506168923,1.506168923,2.66,2.65,0,5,2,0.01
194,1.567381546,1.567381546,2.67,2.65,0,5,2,0.01
195,1.668452465,1.668452465,2.67,2.65,0,5,2,0.01
196,1.773856834,1.773856834,2.69,2.65,0,5,2,0.01
197,1.235351568,1.235351568,2.57,2.65,0,5,2,0.01
198,1.45919862,1.45919862,2.61,2.65,0,5,2,0.01
199,1.554486304,1.554486304,2.64,2.65,0,5,2,0.01
200,1.63162833,1.63162833,2.68,2.65,0,5,2,0.01
201,1.668938512,1.668938512,2.69,2.65,0,5,2,0.01
202,1.693593379,1.693593379,2.68,2.65,0,5,2,0.01
203,1.374662431,1.374662431,2.64,2.65,0,5,2,0.01
204,1.365416892,1.365416892,2.62,2.65,0,5,2,0.01
205,1.559603949,1.559603949,2.67,2.65,0,5,2,0.01
206,1.628863279,1.628863279,2.69,2.65,0,5,2,0.01
207,1.693343549,1.693343549,2.71,2.65,0,5,2,0.01
208,1.674590877,1.674590877,2.69,2.65,0,5,2,0.01
209,1.316984708,1.316984708,2.62,2.65,0,5,2,0.01
210,1.511647963,1.511647963,2.62,2.65,0,5,2,0.01
211,1.385772693,1.385772693,2.67,2.65,0,5,2,0.01
212,1.613261804,1.613261804,2.66,2.65,0,5,2,0.01
213,1.719322007,1.719322007,2.68,2.65,0,5,2,0.01
214,1.663730227,1.663730227,2.72,2.65,0,5,2,0.01
215,1.117081515,1.117081515,2.56,2.65,0,5,2,0.01
216,1.130486488,1.130486488,2.55,2.65,0,5,2,0.01
217,1.168064054,1.168064054,2.68,2.65,0,5,2,0.01
218,1.233393106,1.233393106,2.68,2.65,0,5,2,0.01
219,1.441358573,1.441358573,2.7,2.65,0,5,2,0.01
220,1.495841967,1.495841967,2.71,2.65,0,5,2,0.01
221,1.140262,1.140262,2.6,2.65,0,5,2,0.01
222,1.203231029,1.203231029,2.6,2.65,0,5,2,0.01
223,1.385583791,1.385583791,2.67,2.65,0,5,2,0.01
224,1.323617271,1.323617271,2.68,2.65,0,5,2,0.01
225,1.298478041,1.298478041,2.7,2.65,0,5,2,0.01
226,1.342717492,1.342717492,2.7,2.65,0,5,2,0.01
227,1.005620109,1.005620109,2.52,2.65,0,5,2,0.01
228,1.309839876,1.309839876,2.64,2.65,0,5,2,0.01
229,1.457422863,1.457422863,2.66,2.65,0,5,2,0.01
230,1.617082287,1.617082287,2.71,2.65,0,5,2,0.01
231,1.650044228,1.650044228,2.72,2.65,0,5,2,0.01
232,1.808162995,1.808162995,2.72,2.65,0,5,2,0.01
233,1.03729045,1.03729045,2.56,2.65,0,5,2,0.01
234,1.281497257,1.281497257,2.61,2.65,0,5,2,0.01
235,1.429200461,1.429200461,2.66,2.65,0,5,2,0.01
236,1.509856143,1.509856143,2.7,2.65,0,5,2,0.01
237,1.786969367,1.786969367,2.71,2.65,0,5,2,0.01
238,1.794040833,1.794040833,2.73,2.65,0,5,2,0.01
239,1.315326848,1.315326848,2.55,2.65,0,5,2,0.01
240,1.253680578,1.253680578,2.57,2.65,0,5,2,0.01
241,1.289451783,1.289451783,2.6,2.65,0,5,2,0.01
242,1.488073077,1.488073077,2.66,2.65,0,5,2,0.01
243,1.655730168,1.655730168,2.72,2.65,0,5,2,0.01
244,1.714888667,1.714888667,2.73,2.65,0,5,2,0.01
245,1.276799073,1.276799073,2.64,2.65,0,5,2,0.01
246,1.381356622,1.381356622,2.69,2.65,0,5,2,0.01
247,1.408509322,1.408509322,2.65,2.65,0,5,2,0.01
248,1.596629369,1.596629369,2.7,2.65,0,5,2,0.01
249,1.73036209,1.73036209,2.73,2.65,0,5,2,0.01
250,1.717427716,1.717427716,2.71,2.65,0,5,2,0.01
251,1.128793175,1.128793175,2.61,2.65,0,5,2,0.01
252,1.407285038,1.407285038,2.65,2.65,0,5,2,0.01
253,1.454754573,1.454754573,2.68,2.65,0,5,2,0.01
254,1.497791629,1.497791629,2.72,2.65,0,5,2,0.01
255,1.668304998,1.668304998,2.7,2.65,0,5,2,0.01
256,1.707853867,1.707853867,2.73,2.65,0,5,2,0.01
257,1.329645472,1.329645472,2.61,2.65,0,5,2,0.01
258,1.450905426,1.450905426,2.64,2.65,0,5,2,0.01
259,1.46595865,1.46595865,2.69,2.65,0,5,2,0.01
260,1.566549964,1.566549964,2.7,2.65,0,5,2,0.01
261,1.751106466,1.751106466,2.74,2.65,0,5,2,0.01
262,1.686770156,1.686770156,2.7,2.65,0,5,2,0.01
263,1.339055698,1.339055698,2.61,2.65,0,5,2,0.01
264,1.486201544,1.486201544,2.69,2.65,0,5,2,0.01
265,1.618271683,1.618271683,2.62,2.65,0,5,2,0.01
266,1.458871323,1.458871323,2.72,2.65,0,5,2,0.01
267,1.416846489,1.416846489,2.73,2.65,0,5,2,0.01
268,1.410330254,1.410330254,2.67,2.65,0,5,2,0.01
269,0.954317314,0.954317314,2.52,2.65,0,5,2,0.01
270,1.246341434,1.246341434,2.63,2.65,0,5,2,0.01
271,1.419457213,1.419457213,2.7,2.65,0,5,2,0.01
272,1.48216668,1.48216668,2.71,2.65,0,5,2,0.01
273,1.431714939,1.431714939,2.7,2.65,0,5,2,0.01
274,1.432353968,1.432353968,2.69,2.65,0,5,2,0.01
