Id,SELECT_1
11242411000071013,1
11242411000091011,1
11242411000091012,1
11243028250011011,1
11243028250011012,1
11261124000011011,1
11261124000011012,1
11261124000011013,1
11261124000011014,1
11261124000021011,1
11261124000021012,1
11261124000021013,1
11261124000061011,1
11261124000061012,1
11261124000072011,1
11261124000072012,1
11261124000072013,1
11261128000021011,1
11261128000021012,1
11261128000021013,1
11261128000061011,1
11261128000061012,1
11261128000061013,1
11261128000061014,1
11261128000071011,1
11261128000071012,1
11261128000071013,1
11261128000071014,1
11261128000081011,1
11261128000081012,1
11261128000081013,1
11261128000081014,1
11262932350011011,1
11262932350031011,1
11262932350031012,1
11281123000031011,1
11281123000031012,1
11281124000101021,1
11281124000101022,1
11281124000101023,1
11281124000111011,1
11281124000111012,1
11281124000131011,1
11281124000131012,1
11281124000131013,1
11281124000161011,1
11281124000161012,1
11281124000161013,1
11281124000161014,1
11281124000171011,1
11281124000171012,1
11281124000171021,1
11281124000171022,1
11281124000191011,1
11281124000191012,1
11281124000191013,1
11281124000011011,1
11281124000011012,1
11281124000011013,1
11281124000201011,1
11281124000201012,1
11281124000221011,1
11281124000221012,1
11281124000022011,1
11281124000022012,1
11281124000031011,1
11281124000031012,1
11281124000031021,1
11281124000031022,1
11281124000031041,1
11281124000031042,1
11281124000041011,1
11281124000041012,1
11281124000061011,1
11281124000061012,1
11281124000061013,1
11281126190041011,1
11281126190041012,1
11281126190041013,1
11281311000011011,1
11281311000011012,1
11281311000011013,1
11281311000011014,1
11281417250101011,1
11281417250101012,1
11281417250101013,1
11281417250101014,1
11281417250031011,1
11281417250031012,1
11281417250031013,1
11281417250031014,1
11281417250031031,1
11281417250031032,1
11281417250031033,1
11281417250031034,1
11281417250071011,1
11281417250071012,1
11281417250071013,1
11281417250071014,1
11281417250071021,1
11281417250071022,1
11281417250071023,1
11281417250071024,1
11281417250091011,1
11281417250091012,1
11281417250091013,1
11281417250091014,1
11281422000101011,1
11281422000101012,1
11281422000021011,1
11281422000021012,1
11281422000031011,1
