Ψm_A,σ_A,,Ψm_B,σ_B,,Ψm_C,σ_C,,Ψm_D,σ_D,,Ψm_E,σ_E,,Ψm_F,σ_F,,Ψm_G,σ_G,,Ψm_H,σ_H,,Ψm_I,σ_I,,Ψm_J,σ_J
4063.35759,3.88196,,2993.30308,2.6256,,3077.31849,2.61958,,2971.59783,2.63174,,108859.9285,3.09841,,12307.05229,2.37178,,11111.32378,2.33771,,3766.87376,2.57391,,3984.33903,1.99585,,6058.13462,4
3002.34765,2.61156,,566.21441,3.99983,,5208.00802,2.73996,,5550.22435,2.72084,,198752.2509,3.29908,,16685.89858,2.47324,,16450.91454,2.46852,,2814.25016,3.29067,,155884.9199,3.2181,,3652.65499,3.39963
2.70E+06,3.59342,,1588.07357,3.9997,,17794.16248,2.63992,,19978.91529,2.63063,,5510.82672,2.10396,,24091.05414,2.59567,,24287.9515,2.59838,,2519.79809,3.95329,,5368.01815,2.09521,,2519.80606,3.95329
17076.43992,2.66481,,13629.27255,2.60803,,14220.78086,2.60475,,14149.37566,2.59834,,38931.0171,2.75565,,20232.20534,2.53748,,19435.78077,2.5241,,14476.77151,2.59429,,13088.65341,2.39231,,29332.78187,3.2558
8084.24093,3.27291,,8194.42552,3.28509,,2778.43346,3.1985,,3037.73284,3.19096,,259524.1161,3.38801,,22219.49879,2.56871,,17861.33335,2.49594,,2672.43905,3.50704,,4614.24787,2.04477,,2670.49122,3.50527
9215.34907,2.89853,,10284.0334,2.93793,,8789.6518,2.85598,,8273.95463,2.84846,,160289.5004,3.22738,,22240.4592,2.56903,,19561.30256,2.52624,,6772.29847,3.11353,,8327.31976,2.24157,,6598.47303,3.09262
477.10138,3.75145,,475.63635,3.74367,,1980.75712,2.7361,,1661.18726,2.75062,,1407.78728,1.64906,,10156.79586,2.30777,,9838.94812,2.29717,,372.53702,3.53816,,1389.19196,1.64463,,372.44603,3.53724
8163.02823,3.99781,,8211.51241,3.99996,,5841.35107,3.18997,,4419.25882,3.12048,,709399.5787,3.7232,,25547.80594,2.61524,,24227.18882,2.59755,,2103.4095,4,,6631.48566,2.16567,,2103.40946,4
28664.98817,3.29061,,25277.58779,3.31348,,23704.0788,3.46725,,23645.62211,3.53314,,1.43E+06,3.95693,,53417.46143,2.8611,,43197.85167,2.79032,,24203.34782,3.44179,,29287.05703,2.66077,,51377.27742,4
28256.66063,3.46672,,4373.6991,2.63862,,3679.24863,2.64878,,3679.28106,2.64874,,44364.87983,2.79921,,9886.85963,2.29879,,8483.14039,2.24775,,7568.28054,2.28576,,7736.85093,2.21705,,9704.73433,2.61334
