Id,Theta_Ini[-],Thetas[-],RingRadius[mm],Lambda[-],Beta[-]
156,0,0.520542462,250,0.75,0.6
157,0,0.440329891,250,0.75,0.6
158,0,0.483488863,250,0.75,0.6
159,0,0.469057313,250,0.75,0.6
160,0,0.434834522,250,0.75,0.6
161,0,0.392708778,250,0.75,0.6
162,0,0.597362045,250,0.75,0.6
163,0,0.487687724,250,0.75,0.6
164,0,0.510845177,250,0.75,0.6
165,0,0.451213527,250,0.75,0.6
166,0,0.438708776,250,0.75,0.6
167,0,0.386407258,250,0.75,0.6
168,0,0.547433121,250,0.75,0.6
169,0,0.505404788,250,0.75,0.6
170,0,0.453761213,250,0.75,0.6
171,0,0.426536354,250,0.75,0.6
172,0,0.442635212,250,0.75,0.6
173,0,0.448518142,250,0.75,0.6
174,0,0.546251896,250,0.75,0.6
175,0,0.511932746,250,0.75,0.6
176,0,0.513746249,250,0.75,0.6
177,0,0.465000459,250,0.75,0.6
178,0,0.407947706,250,0.75,0.6
179,0,0.557440983,250,0.75,0.6
180,0,0.489517708,250,0.75,0.6
181,0,0.458558483,250,0.75,0.6
182,0,0.444713538,250,0.75,0.6
183,0,0.444010548,250,0.75,0.6
184,0,0.409530391,250,0.75,0.6
185,0,0.579715721,250,0.75,0.6
186,0,0.516112068,250,0.75,0.6
187,0,0.46094336,250,0.75,0.6
188,0,0.415557714,250,0.75,0.6
189,0,0.400672829,250,0.75,0.6
190,0,0.452292266,250,0.75,0.6
191,0,0.49836484,250,0.75,0.6
192,0,0.434930972,250,0.75,0.6
193,0,0.433771082,250,0.75,0.6
194,0,0.412965713,250,0.75,0.6
195,0,0.375111436,250,0.75,0.6
196,0,0.340573668,250,0.75,0.6
197,0,0.519318456,250,0.75,0.6
198,0,0.440920069,250,0.75,0.6
199,0,0.41117943,250,0.75,0.6
200,0,0.391183459,250,0.75,0.6
201,0,0.379576761,250,0.75,0.6
202,0,0.368062172,250,0.75,0.6
203,0,0.479294534,250,0.75,0.6
204,0,0.478848515,250,0.75,0.6
205,0,0.415878671,250,0.75,0.6
206,0,0.394474617,250,0.75,0.6
207,0,0.375149982,250,0.75,0.6
208,0,0.37747551,250,0.75,0.6
209,0,0.497334081,250,0.75,0.6
210,0,0.423035129,250,0.75,0.6
211,0,0.48098401,250,0.75,0.6
212,0,0.3935106,250,0.75,0.6
213,0,0.358461938,250,0.75,0.6
214,0,0.388334475,250,0.75,0.6
215,0,0.563640033,250,0.75,0.6
216,0,0.556671965,250,0.75,0.6
217,0,0.564155204,250,0.75,0.6
218,0,0.539778692,250,0.75,0.6
219,0,0.466163491,250,0.75,0.6
220,0,0.448028794,250,0.75,0.6
221,0,0.561437692,250,0.75,0.6
222,0,0.537218835,250,0.75,0.6
223,0,0.48105476,250,0.75,0.6
224,0,0.506112959,250,0.75,0.6
225,0,0.519082207,250,0.75,0.6
226,0,0.502697225,250,0.75,0.6
227,0,0.600944401,250,0.75,0.6
228,0,0.503848532,250,0.75,0.6
229,0,0.452096668,250,0.75,0.6
230,0,0.403290669,250,0.75,0.6
231,0,0.393366093,250,0.75,0.6
232,0,0.335234193,250,0.75,0.6
233,0,0.594808418,250,0.75,0.6
234,0,0.509004882,250,0.75,0.6
235,0,0.462706594,250,0.75,0.6
236,0,0.440794021,250,0.75,0.6
237,0,0.34060171,250,0.75,0.6
238,0,0.342842186,250,0.75,0.6
239,0,0.48418555,250,0.75,0.6
240,0,0.512186546,250,0.75,0.6
241,0,0.504057007,250,0.75,0.6
242,0,0.440574031,250,0.75,0.6
243,0,0.391275674,250,0.75,0.6
244,0,0.371835653,250,0.75,0.6
245,0,0.516363988,250,0.75,0.6
246,0,0.486484527,250,0.75,0.6
247,0,0.468487048,250,0.75,0.6
248,0,0.408655789,250,0.75,0.6
249,0,0.366167733,250,0.75,0.6
250,0,0.366262835,250,0.75,0.6
251,0,0.567512193,250,0.75,0.6
252,0,0.468949042,250,0.75,0.6
253,0,0.457181129,250,0.75,0.6
254,0,0.449341313,250,0.75,0.6
255,0,0.38210926,250,0.75,0.6
256,0,0.374412503,250,0.75,0.6
257,0,0.49055729,250,0.75,0.6
258,0,0.450414611,250,0.75,0.6
259,0,0.455033959,250,0.75,0.6
260,0,0.41979631,250,0.75,0.6
261,0,0.360910049,250,0.75,0.6
262,0,0.375270313,250,0.75,0.6
263,0,0.48695184,250,0.75,0.6
264,0,0.44750872,250,0.75,0.6
265,0,0.382339052,250,0.75,0.6
266,0,0.463650249,250,0.75,0.6
267,0,0.481008612,250,0.75,0.6
268,0,0.471786422,250,0.75,0.6
269,0,0.621302653,250,0.75,0.6
270,0,0.526105919,250,0.75,0.6
271,0,0.474275106,250,0.75,0.6
272,0,0.453075026,250,0.75,0.6
273,0,0.469735208,250,0.75,0.6
274,0,0.467526406,250,0.75,0.6
