Year,Month,Day,θobs_Aver,θsim_Aver
2009.0,1.0,15.0,0.20000000000000284,0.23113562999910825
2009.0,1.0,16.0,0.1879999923706026,0.22358975982797194
2009.0,1.0,17.0,0.17600000381469805,0.21664049979272682
2009.0,1.0,18.0,0.17499999999999688,0.211542793855881
2009.0,1.0,19.0,NaN,0.21796018756412305
2009.0,1.0,20.0,NaN,0.2177484043941687
2009.0,1.0,21.0,0.1689999961853046,0.21424125891622595
2009.0,1.0,22.0,0.16200000762939637,0.2094160458319884
2009.0,1.0,23.0,0.15300000190734808,0.20436260845151505
2009.0,1.0,24.0,0.14600000381469758,0.20007052366102168
2009.0,1.0,25.0,0.138999996185301,0.19608146063322912
2009.0,1.0,26.0,0.13399999618530178,0.19326477144841495
2009.0,1.0,27.0,0.13399999618530273,0.19083287713765576
2009.0,1.0,28.0,0.13399999618530273,0.19718126951078452
2009.0,1.0,29.0,0.131000003814697,0.19419638100093906
2009.0,1.0,30.0,0.12699999809265183,0.19190954062850513
2009.0,1.0,31.0,0.12300000190735094,0.1895688774253385
2009.0,2.0,1.0,0.12100000381469544,0.18755732150718585
2009.0,2.0,2.0,0.12100000381469726,0.190811967196729
2009.0,2.0,3.0,0.12100000381469726,0.18964340531738763
2009.0,2.0,4.0,0.11899999618530194,0.1881485538071928
2009.0,2.0,5.0,0.136000003814698,0.19060857647620924
2009.0,2.0,6.0,0.13999999999999824,0.20478644249836203
2009.0,2.0,7.0,0.13600000381469912,0.20010059711206907
2009.0,2.0,8.0,0.13000000000000167,0.19580306497832078
2009.0,2.0,9.0,0.12499999999999911,0.1923177193170083
2009.0,2.0,10.0,0.16600000381469648,0.19082500492603938
2009.0,2.0,11.0,0.17899999618530504,0.23413145938401506
2009.0,2.0,12.0,0.2139999961853034,0.23652467305318184
2009.0,2.0,13.0,0.27799999237060113,0.3014840311903646
2009.0,2.0,14.0,0.27299999237060435,0.31883505160152864
2009.0,2.0,15.0,0.25600000381470434,0.310159278993223
2009.0,2.0,16.0,0.2879999923706027,0.29976896031053374
2009.0,2.0,17.0,0.2939999961852966,0.3398664870352659
2009.0,2.0,18.0,0.2760000038146986,0.32817900391141414
2009.0,2.0,19.0,0.26299999237060545,0.31775776099247016
2009.0,2.0,20.0,0.28100000381469803,0.31011718445533826
2009.0,2.0,21.0,0.2889999961853107,0.32362078523643484
2009.0,2.0,22.0,0.27899999618530025,0.3192267271814907
2009.0,2.0,23.0,0.26899999618530046,0.31112357418506326
2009.0,2.0,24.0,0.26200000762939024,0.30782281509589193
2009.0,2.0,25.0,0.25700000762939346,0.3032944776494656
2009.0,2.0,26.0,0.2510000038147058,0.2972329091656988
2009.0,2.0,27.0,0.24700000762939045,0.29109384660727544
2009.0,2.0,28.0,0.3370000076293955,0.29873309454394287
2009.0,3.0,1.0,0.32500000000000373,0.3509043556887145
2009.0,3.0,2.0,0.3099999999999965,0.34113631190648386
2009.0,3.0,3.0,0.30299999237061015,0.3312620670166303
2009.0,3.0,4.0,0.2960000038146928,0.3289148504849181
2009.0,3.0,5.0,0.2879999923706067,0.321152709718281
2009.0,3.0,6.0,0.2870000076293951,0.3221695536747301
2009.0,3.0,7.0,0.283999996185305,0.3185446474955374
2009.0,3.0,8.0,0.2789999961853016,0.31337805227190846
2009.0,3.0,9.0,0.2749999999999919,0.30743824881827586
2009.0,3.0,10.0,0.2789999961853108,0.30303092806512083
2009.0,3.0,11.0,0.3279999923705983,0.31644494857375216
2009.0,3.0,12.0,0.3200000000000056,0.3277117123888521
2009.0,3.0,13.0,0.31100000381469917,0.32231539248195673
2009.0,3.0,14.0,0.3029999923706064,0.31870286375870827
2009.0,3.0,15.0,0.2949999999999915,0.31320485944594306
2009.0,3.0,16.0,0.2899999999999987,0.3078425035077234
2009.0,3.0,17.0,0.2879999923706118,0.3044945044455527
2009.0,3.0,18.0,0.28500000000000314,0.30413762983764636
2009.0,3.0,19.0,0.2799999999999918,0.29901934730648216
2009.0,3.0,20.0,0.27600000381469636,0.293955634773185
2009.0,3.0,21.0,0.27200000762939736,0.2898087836189333
2009.0,3.0,22.0,0.2689999961853051,0.2882494830820616
2009.0,3.0,23.0,0.2700000000000041,0.2875331023929782
2009.0,3.0,24.0,0.27,0.2920935556264581
2009.0,3.0,25.0,0.26799999237059713,0.2885413039514878
2009.0,3.0,26.0,0.26600000381470446,0.284099732812104
2009.0,3.0,27.0,0.2620000076293867,0.2793316605124143
2009.0,3.0,28.0,0.2579999923706142,0.27346717566028106
2009.0,3.0,29.0,0.25200000762939423,0.26982712715989404
2009.0,3.0,30.0,0.24700000762939012,0.2642925223924344
2009.0,3.0,31.0,0.2460000038147006,0.25954287457449154
2009.0,4.0,1.0,0.24600000381469728,0.2596099711664647
2009.0,4.0,2.0,0.24499999999999567,0.2583170618754786
2009.0,4.0,3.0,0.24200000762939433,0.2553279888535811
2009.0,4.0,4.0,0.23799999237060354,0.2519969561724526
2009.0,4.0,5.0,0.23200000762940154,0.24847334757201256
2009.0,4.0,6.0,0.2270000076293932,0.24444854656309123
2009.0,4.0,7.0,0.22299999237060364,0.2402921531960044
2009.0,4.0,8.0,0.22299999237060547,0.24184652881436913
2009.0,4.0,9.0,0.22899999618530065,0.24393828841499723
2009.0,4.0,10.0,0.22899999618530273,0.24652638036455962
2009.0,4.0,11.0,0.22700000762939865,0.243840967300305
2009.0,4.0,12.0,0.22600000381469287,0.24082936158501564
2009.0,4.0,13.0,0.22500000000000353,0.23771044499955665
2009.0,4.0,14.0,0.22299999237060453,0.23518955366887487
2009.0,4.0,15.0,0.22100000381469342,0.2322303041057334
2009.0,4.0,16.0,0.21799999237060796,0.2297090212981723
2009.0,4.0,17.0,0.21499999999999986,0.22706798610297912
2009.0,4.0,18.0,0.21299999237060452,0.22450299155628664
2009.0,4.0,19.0,0.20999999999999963,0.22205807496660185
2009.0,4.0,20.0,0.21,0.21984240057967966
2009.0,4.0,21.0,0.2089999961853063,0.2203489908563141
2009.0,4.0,22.0,0.20700000762939064,0.21938311422538675
2009.0,4.0,23.0,0.2060000038147009,0.2171799607444337
2009.0,4.0,24.0,0.2049999999999954,0.21592172286456635
2009.0,4.0,25.0,0.2039999961853064,0.2145101906791205
