,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,SIM_100,SIM_101,OPT_100,OPT_101
Vector,hydro,Ψm,4,7.389056099,7.20E+09,0,151798.0036,151798.0036,151798.0036,151798.0036,151798.0036,151798.0036,151798.0036,151798.0036,1,0,1,0,0,0,1,0,151798.0036,20499.87548,0,0
Vector,hydro,σ,1,0.75,4,0,2.077554,2.077554,2.077554,2.077554,2.077554,2.077554,2.077554,2.077554,1,1,0,1,0,0,0,0,2.077554,2.23167035,0,0
Vector,hydro,σ,2,0.75,4,0,2.201602,2.201602,2.201602,2.201602,2.201602,2.201602,2.201602,2.201602,1,1,0,0,1,0,0,0,2.201602,2.23167035,0,0
Vector,hydro,σ,3,0.75,4,0,2.410769,2.410769,2.410769,2.410769,2.410769,2.410769,2.410769,2.410769,1,0,1,0,0,1,0,0,2.410769,2.29956889,0,0
Vector,hydro,σ,4,0.75,4,0,2.463145,2.463145,2.463145,2.463145,2.463145,2.463145,2.463145,2.463145,1,0,1,0,0,0,1,0,2.463145,2.000138431,0,0
Vector,hydro,θsMacMat_ƞ,1,0.75,1,0,0.922455,0.922455,0.922455,0.922455,0.922455,0.922455,0.922455,0.922455,1,1,0,1,0,0,0,0,0.922455,0.9,0,0
Vector,hydro,θsMacMat_ƞ,2,0.75,1,0,0.781472,0.781472,0.781472,0.781472,0.781472,0.781472,0.781472,0.781472,1,1,0,0,1,0,0,0,0.781472,0.9,0,0
Vector,hydro,θsMacMat_ƞ,3,0.8,1,0,0.952221,0.952221,0.952221,0.952221,0.952221,0.952221,0.952221,0.952221,1,0,1,0,0,1,0,0,0.952221,1,0,0
Vector,hydro,θsMacMat_ƞ,4,0.8,1,0,0.90484,0.90484,0.90484,0.90484,0.90484,0.90484,0.90484,0.90484,1,0,1,0,0,0,1,0,0.90484,1,0,0
Vector,hydro,σMac,1,0.2,0.8,0,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0.7675,0,0,0,0,0,0,0,0,0.7675,1,0,0
