Comments,pit,loc,depth,depth.class,Id,H[mm],Theta
NA,3,Dist,75,80,PP18-0645,500,51.01283647
NA,3,Dist,75,80,PP18-0645,1000,50.61509997
NA,3,Dist,75,80,PP18-0645,150000,30.36430608
NA,3,Prox,15,15,PP18-0646,0,56.06667783
NA,3,Prox,15,15,PP18-0646,10,53.73540822
NA,3,Prox,15,15,PP18-0646,40,53.22036033
NA,3,Prox,15,15,PP18-0646,70,53.08324861
NA,3,Prox,15,15,PP18-0646,100,52.90922219
NA,3,Prox,15,15,PP18-0646,500,50.04393875
NA,3,Prox,15,15,PP18-0646,1000,48.131406
NA,3,Prox,15,15,PP18-0646,150000,22.04042354
NA,3,Prox,30,30,PP18-0647,0,49.96695146
NA,3,Prox,30,30,PP18-0647,10,45.56551235
NA,3,Prox,30,30,PP18-0647,40,45.02675902
NA,3,Prox,30,30,PP18-0647,70,44.58724972
NA,3,Prox,30,30,PP18-0647,100,44.30015091
NA,3,Prox,30,30,PP18-0647,500,41.88284979
NA,3,Prox,30,30,PP18-0647,1000,40.75926554
NA,3,Prox,30,30,PP18-0647,150000,23.28781862
NA,3,Prox,45,45,PP18-0648,0,46.64073052
NA,3,Prox,45,45,PP18-0648,10,42.3886127
NA,3,Prox,45,45,PP18-0648,40,42.05287224
NA,3,Prox,45,45,PP18-0648,70,41.80981014
NA,3,Prox,45,45,PP18-0648,100,41.81505608
NA,3,Prox,45,45,PP18-0648,500,41.28696432
NA,3,Prox,45,45,PP18-0648,1000,40.76586716
NA,3,Prox,45,45,PP18-0648,150000,26.48166388
NA,3,Prox,60,60,PP18-0649,0,49.65975441
NA,3,Prox,60,60,PP18-0649,10,47.18051219
NA,3,Prox,60,60,PP18-0649,40,46.82517423
NA,3,Prox,60,60,PP18-0649,70,46.68536913
NA,3,Prox,60,60,PP18-0649,100,46.53973882
NA,3,Prox,60,60,PP18-0649,500,45.84770359
NA,3,Prox,60,60,PP18-0649,1000,45.46848226
NA,3,Prox,60,60,PP18-0649,150000,25.62289211
NA,3,Prox,75,80,PP18-0650,0,55.74303991
NA,3,Prox,75,80,PP18-0650,10,52.80880694
NA,3,Prox,75,80,PP18-0650,40,52.54755194
NA,3,Prox,75,80,PP18-0650,70,52.56496894
NA,3,Prox,75,80,PP18-0650,100,52.39079895
NA,3,Prox,75,80,PP18-0650,500,51.91705657
NA,3,Prox,75,80,PP18-0650,1000,51.62445098
NA,3,Prox,75,80,PP18-0650,150000,31.48182846
NA,4,Dist,15,15,PP18-0651,0,54.17028122
NA,4,Dist,15,15,PP18-0651,10,50.85159182
NA,4,Dist,15,15,PP18-0651,40,50.79871045
NA,4,Dist,15,15,PP18-0651,70,50.62243921
NA,4,Dist,15,15,PP18-0651,100,50.44616797
NA,4,Dist,15,15,PP18-0651,500,47.23626868
NA,4,Dist,15,15,PP18-0651,1000,45.6621665
NA,4,Dist,15,15,PP18-0651,150000,20.8537721
NA,4,Dist,30,30,PP18-0652,0,48.9183525
NA,4,Dist,30,30,PP18-0652,10,44.13098032
NA,4,Dist,30,30,PP18-0652,40,43.87075932
NA,4,Dist,30,30,PP18-0652,70,43.71462672
NA,4,Dist,30,30,PP18-0652,100,43.35031732
NA,4,Dist,30,30,PP18-0652,500,40.31267084
NA,4,Dist,30,30,PP18-0652,1000,39.31862662
NA,4,Dist,30,30,PP18-0652,150000,21.93895353
NA,4,Dist,45,45,PP18-0653,0,46.26078226
NA,4,Dist,45,45,PP18-0653,10,43.01811083
NA,4,Dist,45,45,PP18-0653,40,42.20473696
NA,4,Dist,45,45,PP18-0653,70,42.32665595
NA,4,Dist,45,45,PP18-0653,100,42.14203576
NA,4,Dist,45,45,PP18-0653,500,39.46504295
NA,4,Dist,45,45,PP18-0653,1000,38.78926337
NA,4,Dist,45,45,PP18-0653,150000,23.5648524
NA,4,Dist,60,60,PP18-0654,0,47.94906642
NA,4,Dist,60,60,PP18-0654,10,43.17971305
NA,4,Dist,60,60,PP18-0654,40,42.73730506
NA,4,Dist,60,60,PP18-0654,70,42.36134569
NA,4,Dist,60,60,PP18-0654,100,42.34036191
NA,4,Dist,60,60,PP18-0654,500,40.77707041
NA,4,Dist,60,60,PP18-0654,1000,40.18253002
NA,4,Dist,60,60,PP18-0654,150000,25.04816449
NA,4,Dist,75,80,PP18-0655,0,48.50348497
NA,4,Dist,75,80,PP18-0655,10,45.50021495
NA,4,Dist,75,80,PP18-0655,40,45.18019815
NA,4,Dist,75,80,PP18-0655,70,44.8916584
NA,4,Dist,75,80,PP18-0655,100,44.77449378
NA,4,Dist,75,80,PP18-0655,500,43.70951981
NA,4,Dist,75,80,PP18-0655,1000,43.12369669
NA,4,Dist,75,80,PP18-0655,150000,25.7200902
NA,4,Prox,15,15,PP18-0656,0,54.58004791
NA,4,Prox,15,15,PP18-0656,10,52.43907391
NA,4,Prox,15,15,PP18-0656,40,52.02944024
NA,4,Prox,15,15,PP18-0656,70,51.91723623
NA,4,Prox,15,15,PP18-0656,100,51.79790816
NA,4,Prox,15,15,PP18-0656,500,48.98746497
NA,4,Prox,15,15,PP18-0656,1000,47.37564552
NA,4,Prox,15,15,PP18-0656,150000,19.39265407
NA,4,Prox,30,30,PP18-0657,0,49.91541577
NA,4,Prox,30,30,PP18-0657,10,45.49059655
NA,4,Prox,30,30,PP18-0657,40,45.11780102
NA,4,Prox,30,30,PP18-0657,70,45.11780102
NA,4,Prox,30,30,PP18-0657,100,45.07559776
NA,4,Prox,30,30,PP18-0657,500,40.96605465
NA,4,Prox,30,30,PP18-0657,1000,40.03406584
NA,4,Prox,30,30,PP18-0657,150000,18.99677106
NA,4,Prox,45,45,PP18-0658,0,48.82837142
NA,4,Prox,45,45,PP18-0658,10,44.41156022
NA,4,Prox,45,45,PP18-0658,40,43.39945581
NA,4,Prox,45,45,PP18-0658,70,43.31612646
NA,4,Prox,45,45,PP18-0658,100,43.04009799
NA,4,Prox,45,45,PP18-0658,500,40.0871141
NA,4,Prox,45,45,PP18-0658,1000,39.23298826
NA,4,Prox,45,45,PP18-0658,150000,20.15933918
NA,4,Prox,60,60,PP18-0659,0,48.81699665
NA,4,Prox,60,60,PP18-0659,10,44.32806417
NA,4,Prox,60,60,PP18-0659,40,43.93393862
NA,4,Prox,60,60,PP18-0659,70,43.70872403
NA,4,Prox,60,60,PP18-0659,100,43.10697878
NA,4,Prox,60,60,PP18-0659,500,41.18913573
NA,4,Prox,60,60,PP18-0659,1000,40.66128902
NA,4,Prox,60,60,PP18-0659,150000,23.13769034
NA,4,Prox,75,80,PP18-0660,0,50.10551867
NA,4,Prox,75,80,PP18-0660,10,46.41211058
NA,4,Prox,75,80,PP18-0660,40,45.70520586
NA,4,Prox,75,80,PP18-0660,70,45.44319391
NA,4,Prox,75,80,PP18-0660,100,45.27262237
NA,4,Prox,75,80,PP18-0660,500,44.00124896
NA,4,Prox,75,80,PP18-0660,1000,43.44205567
NA,4,Prox,75,80,PP18-0660,150000,27.70874995
NA,5,Dist,15,15,PP18-0661,0,55.34260901
NA,5,Dist,15,15,PP18-0661,10,52.12851947
NA,5,Dist,15,15,PP18-0661,40,51.92981086
