sample_id,pit,loc,depth,depth.class,Id,Diameter[mm],Cumul_Psd
1808-82,5,Dist,30,30,PP18-0662,0.006,0.38
1808-82,5,Dist,30,30,PP18-0662,0.01,0.45
1808-82,5,Dist,30,30,PP18-0662,0.02,0.61
1808-82,5,Dist,30,30,PP18-0662,0.063,0.95
1808-82,5,Dist,30,30,PP18-0662,0.125,0.99
1808-82,5,Dist,30,30,PP18-0662,0.25,1
1808-82,5,Dist,30,30,PP18-0662,0.5,1
1808-82,5,Dist,30,30,PP18-0662,1,1
1808-82,5,Dist,30,30,PP18-0662,2,1
1808-84,5,Dist,45,45,PP18-0663,0.002,0.33
1808-84,5,Dist,45,45,PP18-0663,0.006,0.41
1808-84,5,Dist,45,45,PP18-0663,0.01,0.48
1808-84,5,Dist,45,45,PP18-0663,0.02,0.62
1808-84,5,Dist,45,45,PP18-0663,0.063,0.95
1808-84,5,Dist,45,45,PP18-0663,0.125,0.99
1808-84,5,Dist,45,45,PP18-0663,0.25,1
1808-84,5,Dist,45,45,PP18-0663,0.5,1
1808-84,5,Dist,45,45,PP18-0663,1,1
1808-84,5,Dist,45,45,PP18-0663,2,1
1808-86,5,Dist,60,60,PP18-0664,0.002,0.36
1808-86,5,Dist,60,60,PP18-0664,0.006,0.44
1808-86,5,Dist,60,60,PP18-0664,0.01,0.5
1808-86,5,Dist,60,60,PP18-0664,0.02,0.64
1808-86,5,Dist,60,60,PP18-0664,0.063,0.95
1808-86,5,Dist,60,60,PP18-0664,0.125,0.99
