Comments,pit,loc,depth,depth.class,Id,H[mm],Kunsat[mm_h]
NA,3,Prox,30,30,PP18-0647,10,18.0424823
NA,3,Prox,30,30,PP18-0647,40,4.435443565
NA,3,Prox,30,30,PP18-0647,70,1.465951687
NA,3,Prox,30,30,PP18-0647,100,0.620210329
NA,3,Prox,45,45,PP18-0648,0,-9999
NA,3,Prox,45,45,PP18-0648,10,0.300708038
NA,3,Prox,45,45,PP18-0648,40,0.150354019
NA,3,Prox,45,45,PP18-0648,70,0.135318617
NA,3,Prox,45,45,PP18-0648,100,0.112765514
NA,3,Prox,60,60,PP18-0649,0,-9999
NA,3,Prox,60,60,PP18-0649,10,0.601416077
NA,3,Prox,60,60,PP18-0649,40,0.451062057
NA,3,Prox,60,60,PP18-0649,70,0.338296543
NA,3,Prox,60,60,PP18-0649,100,0.225531029
NA,3,Prox,75,80,PP18-0650,0,-9999
NA,3,Prox,75,80,PP18-0650,10,0.187942524
NA,3,Prox,75,80,PP18-0650,40,0.159751145
NA,3,Prox,75,80,PP18-0650,70,0.150354019
NA,3,Prox,75,80,PP18-0650,100,0.135318617
NA,4,Dist,15,15,PP18-0651,0,-9999
NA,4,Dist,15,15,PP18-0651,10,18.79425239
NA,4,Dist,15,15,PP18-0651,40,7.397417743
NA,4,Dist,15,15,PP18-0651,70,7.329758434
NA,4,Dist,15,15,PP18-0651,100,3.326582674
NA,4,Dist,30,30,PP18-0652,0,-9999
NA,4,Dist,30,30,PP18-0652,10,18.49354436
NA,4,Dist,30,30,PP18-0652,40,6.690753853
NA,4,Dist,30,30,PP18-0652,70,2.029779259
NA,4,Dist,30,30,PP18-0652,100,0.789358601
NA,4,Dist,45,45,PP18-0653,0,-9999
NA,4,Dist,45,45,PP18-0653,10,18.41836735
NA,4,Dist,45,45,PP18-0653,40,5.262390671
NA,4,Dist,45,45,PP18-0653,70,1.007371928
NA,4,Dist,45,45,PP18-0653,100,0.225531029
NA,4,Dist,60,60,PP18-0654,0,-9999
NA,4,Dist,60,60,PP18-0654,10,4.886505623
NA,4,Dist,60,60,PP18-0654,40,2.067367763
NA,4,Dist,60,60,PP18-0654,70,0.826947105
NA,4,Dist,60,60,PP18-0654,100,0.360849646
NA,4,Dist,75,80,PP18-0655,0,-9999
NA,4,Dist,75,80,PP18-0655,10,2.819137859
NA,4,Dist,75,80,PP18-0655,40,1.315597668
NA,4,Dist,75,80,PP18-0655,70,0.368367347
NA,4,Dist,75,80,PP18-0655,100,0.225531029
NA,4,Prox,15,15,PP18-0656,0,-9999
NA,4,Prox,15,15,PP18-0656,10,10.52478134
NA,4,Prox,15,15,PP18-0656,40,9.397126197
NA,4,Prox,15,15,PP18-0656,70,6.765930862
NA,4,Prox,15,15,PP18-0656,100,3.157434402
NA,4,Prox,30,30,PP18-0657,0,-9999
NA,4,Prox,30,30,PP18-0657,10,64.55825698
NA,4,Prox,30,30,PP18-0657,40,18.41836735
NA,4,Prox,30,30,PP18-0657,70,5.157142857
NA,4,Prox,30,30,PP18-0657,100,1.465951687
NA,4,Prox,45,45,PP18-0658,0,-9999
NA,4,Prox,45,45,PP18-0658,10,13.71980425
NA,4,Prox,45,45,PP18-0658,40,5.262390671
NA,4,Prox,45,45,PP18-0658,70,1.88694294
NA,4,Prox,45,45,PP18-0658,100,0.451062057
NA,4,Prox,60,60,PP18-0659,0,-9999
NA,4,Prox,60,60,PP18-0659,10,7.517700958
NA,4,Prox,60,60,PP18-0659,40,3.007080383
NA,4,Prox,60,60,PP18-0659,70,0.917159517
NA,4,Prox,60,60,PP18-0659,100,0.360849646
NA,4,Prox,75,80,PP18-0660,0,-9999
