Id,H[mm],Kunsat[mm_s]
28311126000133011,4000.0,8.956245753930142e-5
28311126000133011,10000.0,1.3592385566313578e-5
28311126000133012,0.0,0.15610935231153605
28311126000133012,10.0,0.07014889871362541
28311126000133012,100.0,0.016321218183098434
28311126000133012,500.0,0.0026440669110911826
28311126000133012,1000.0,0.0009243142749526048
28311126000133012,2000.0,0.0002708073028605842
28311126000133012,4000.0,6.587915319959882e-5
28311126000133012,10000.0,7.540336671291835e-6
28311126000133013,0.0,0.18010744772180967
28311126000133013,10.0,0.08737554160084715
28311126000133013,100.0,0.02085980551197975
28311126000133013,500.0,0.0026067271601633545
28311126000133013,1000.0,0.0007230908831890497
28311126000133013,2000.0,0.00015466932623803232
28311126000133013,4000.0,2.5138614079271928e-5
28311126000133013,10000.0,1.4640835254537546e-6
28311126000133014,0.0,0.0013049894994700464
28311126000133014,10.0,0.0007093048923498124
28311126000133014,100.0,0.00017348696513406166
28311126000133014,500.0,1.8258205560243493e-5
28311126000133014,1000.0,4.38900265466985e-6
28311126000133014,2000.0,7.755786718122623e-7
28311126000133014,4000.0,9.901966784879216e-8
28311126000133014,10000.0,3.8685153772614865e-9
28311126000141011,0.0,0.24416944504098526
28311126000141011,10.0,0.09405948905713783
28311126000141011,100.0,0.02064600477601754
28311126000141011,500.0,0.0034993182657968858
28311126000141011,1000.0,0.0012800301902091773
28311126000141011,2000.0,0.00039956132503745994
28311126000141011,4000.0,0.00010558178416212493
28311126000141011,10000.0,1.3909644045449738e-5
28311126000141012,0.0,0.15235473506962244
28311126000141012,10.0,0.07141703845064079
28311126000141012,100.0,0.0169269521354472
28311126000141012,500.0,0.002407716279550499
28311126000141012,1000.0,0.0007469057442331685
28311126000141012,2000.0,0.0001857693604077941
28311126000141012,4000.0,3.659144760475426e-5
28311126000141012,10000.0,2.9356585433120543e-6
28311126000141013,0.0,0.15948065467473876
28311126000141013,10.0,0.08035882471082985
28311126000141013,100.0,0.01934304911916906
28311126000141013,500.0,0.0022564788566507544
28311126000141013,1000.0,0.0005907296506395249
28311126000141013,2000.0,0.00011694008950455656
28311126000141013,4000.0,1.7230047980123793e-5
28311126000141013,10000.0,8.528544778276339e-7
28311126000141014,0.0,0.0015656391033700761
28311126000141014,10.0,0.0008911073214856891
28311126000141014,100.0,0.00021656596977336618
28311126000141014,500.0,1.909135122735182e-5
28311126000141014,1000.0,3.973515107358923e-6
28311126000141014,2000.0,5.803778799411032e-7
28311126000141014,4000.0,5.834092582581761e-8
28311126000141014,10000.0,1.53875165976912e-9
