,TYPE,NAME,HORIZON,MIN,MAX,LogTransform,SIM_1,SIM_2,SIM_3,SIM_4,SIM_5,SIM_6,SIM_7,SIM_8,SIM_9,SIM_10,OPT_1,OPT_2,OPT_3,OPT_4,OPT_5,OPT_6,OPT_7,OPT_8,OPT_9,OPT_10,SIM_100,SIM_101,OPT_100,OPT_101
Vector,hydro,σ,1,0.75,4,0,2.158461835,2.158461835,2.158461835,2.158461835,2.158461835,2.158461835,2.158461835,2.158461835,2.158461835,1.964391098,1,1,0,1,0,0,0,0,0,0,1.964391098,1.862196197,0,0
Vector,hydro,σ,2,0.75,4,0,1.759706102,1.759706102,1.759706102,1.759706102,1.759706102,1.759706102,1.759706102,1.759706102,1.759706102,2.127962672,1,1,0,0,1,1,0,0,0,0,2.127962672,2.12609976,0,0
Vector,hydro,σ,3,0.75,4,0,2.079684148,2.079684148,2.079684148,2.079684148,2.079684148,2.079684148,2.079684148,2.079684148,2.079684148,2.553903405,1,1,0,0,1,0,1,0,0,0,2.553903405,2.651148478,0,0
Vector,hydro,σ,4,0.75,4,0,2.637149871,2.637149871,2.637149871,2.637149871,2.637149871,2.637149871,2.637149871,2.637149871,2.637149871,2.880396667,1,0,1,0,0,0,0,1,0,0,2.880396667,2.895014311,0,0
Vector,hydro,σ,5,0.75,4,0,2.571975458,2.571975458,2.571975458,2.571975458,2.571975458,2.571975458,2.571975458,2.571975458,2.571975458,2.880396667,1,0,1,0,0,0,0,0,1,0,2.880396667,2.361526904,0,0
Vector,hydro,θsMacMat_ƞ,1,0.75,1,0,0.782708635,0.782708635,0.782708635,0.782708635,0.782708635,0.782708635,0.782708635,0.782708635,0.782708635,0.972220982,1,1,0,1,0,0,0,0,0,0,0.972220982,0.826172529,0,0
Vector,hydro,θsMacMat_ƞ,2,0.75,1,0,0.982596836,0.982596836,0.982596836,0.982596836,0.982596836,0.982596836,0.982596836,0.982596836,0.982596836,0.963894091,1,1,0,0,1,1,0,0,0,0,0.963894091,0.952561914,0,0
Vector,hydro,θsMacMat_ƞ,3,0.75,1,0,0.903887181,0.903887181,0.903887181,0.903887181,0.903887181,0.903887181,0.903887181,0.903887181,0.903887181,0.750723169,1,1,0,0,1,0,1,0,0,0,0.750723169,0.772991901,0,0
Vector,hydro,θsMacMat_ƞ,4,0.8,1,0,0.869145757,0.869145757,0.869145757,0.869145757,0.869145757,0.869145757,0.869145757,0.869145757,0.869145757,0.977828154,1,0,1,0,0,0,0,1,0,0,0.977828154,0.800228364,0,0
Vector,hydro,θsMacMat_ƞ,5,0.8,1,0,0.925017748,0.925017748,0.925017748,0.925017748,0.925017748,0.925017748,0.925017748,0.925017748,0.925017748,0.977828154,1,0,1,0,0,0,0,0,1,0,0.977828154,0.87997291,0,0
