Id,0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
13112428320021023,0.375,0.22985440550760775,0.19084651543179715,0.14977271525519523,0.12294388502731403,0.1138232022411805,0.08152861150843405,0.05931260325226126
13112817000011011,0.5704499999999999,0.48887044190563184,0.47537865550245784,0.4564800433381089,0.43899299322657065,0.4313730372471184,0.3882028816077849,0.2154621072833647
13112817000011012,0.49342499999999995,0.43904155253428895,0.4298794496352366,0.4171079209855518,0.4054333770112153,0.400399064357281,0.3725638180784477,0.2746341389380759
13112817000011013,0.453,0.4047007858665712,0.39553371255589526,0.3827876274660143,0.3711895021918053,0.366206463246904,0.3388789218199316,0.24655735688523098
13112817000011014,0.18739999999999998,0.13975845513704768,0.13439921102612207,0.12704225465618307,0.1204787117480995,0.11770125869380973,0.1029589211742663,0.060248707079066474
13112817000031011,0.56352,0.48230501614080323,0.46896540525660374,0.4502801703728784,0.43299163595683354,0.4254586202358063,0.3827870899134141,0.21217774917239152
13112817000031012,0.48672,0.4318487528789353,0.42240662249376987,0.40926287883117796,0.3972785373806031,0.3921211981843113,0.3637358560873878,0.2661253147847083
13112817000031013,0.396,0.3485174301284599,0.3408670208312916,0.3302105796820931,0.3204828358155898,0.3162926881612493,0.2931825790997456,0.21288534303257484
13112817000032011,0.56352,0.48230690056148845,0.4689670133254124,0.4502813931364349,0.43299251084180307,0.4254593470414533,0.38278702645331475,0.2121756135355707
13112817000032012,0.48671999999999993,0.431848781541484,0.42240663754517577,0.4092628754739699,0.39727851811813797,0.3921211723804392,0.3637357979923103,0.266125208905516
13112817000032013,0.396,0.3485174360351994,0.34086702623483534,0.330210584395857,0.32048283991843407,0.31629269200746035,0.2931825816108743,0.21288534229851525
13112817000041011,0.43672000000000005,0.3168719083068255,0.30040418871021995,0.27873654401640946,0.26044838029377587,0.2530162636992583,0.2166711320651483,0.1422212200095931
13112817000041012,0.34312499999999996,0.2286886232943251,0.21089564510444175,0.18942324873209096,0.17306371301007956,0.1668773274563468,0.1404767063067549,0.1077028291384239
13112817000051011,0.43672000000000005,0.31813076359113274,0.30165864496492106,0.2799633799233238,0.2616290633088508,0.25417154693424815,0.21763823900838336,0.14227867349386092
13112817000051012,0.3656999999999999,0.26847520277630316,0.2559822305970567,0.23978857764599013,0.22636863448869987,0.22098554087132088,0.19532130152217925,0.14772822667535387
13112817000051013,0.31562499999999993,0.21612954051239935,0.19990424477678112,0.1799768147660786,0.16448301694236717,0.15854052018324077,0.13251203290914448,0.09715326186789398
13112817000061011,0.543,0.4426453943857254,0.4283212449435021,0.4085865543141911,0.39088749901848674,0.3833681215286494,0.3431200993595929,0.2219574859351999
13112817000061012,0.466,0.3979346025949931,0.38850439896013894,0.3754751372375333,0.36373969219038593,0.3587375985335006,0.33177592241129533,0.2479321560882557
13112817000061013,0.37110000000000004,0.30688549005183674,0.3014822804581343,0.29394030676028643,0.28702780949059314,0.2840405060047197,0.26744202306380016,0.20757151269169766
13112817000071011,0.5369999999999999,0.3980678638345933,0.3802825184371044,0.35651736786372584,0.3360666898622725,0.3276393096576302,0.28527406817095147,0.18821986908557514
13112817000071012,0.466,0.36058650099838674,0.3524399868067573,0.3412202580968167,0.33116299504493946,0.3268918654292138,0.3040491997607472,0.23554490286133256
13112817000071013,0.38000000000000006,0.3076644130239076,0.30245710018815714,0.29518712952068166,0.28852120884051835,0.2856394913572195,0.2696153430299586,0.21158787792163186
13112817000081011,0.579225,0.5080350382973098,0.4937559177725536,0.4735497770871467,0.4547345475834887,0.4465140088663767,0.3998249795214,0.21435808205599038
13112817000081012,0.4944,0.4396946977931615,0.43045469076167564,0.4175766109480724,0.40580819590560263,0.4007346382082604,0.37269771798982965,0.2743288312630863
13112817000081013,0.4449,0.40291920554363847,0.3943488034582666,0.38241005210583245,0.3715103617758216,0.36681492542939975,0.340912031724555,0.2508080004560445
13112817000091011,0.573375,0.49433178312172876,0.48047825530832716,0.46107464802711934,0.4431283150310855,0.4353114611661436,0.39107057334551054,0.21504421991919592
13112817000091012,0.456,0.40120447231705775,0.39244869471823407,0.38025413552977955,0.36912495280971175,0.3643320602373772,0.3379088535241389,0.2462946825202647
13112817000101011,0.5612099999999999,0.48012171083523353,0.4668321541945281,0.44821711050554547,0.43099390515643304,0.4234895110455596,0.38098227908635174,0.21107842962380066
