Id,SoilName,Depth_mm,IsTopsoil,RockFragment_%,RockDepth_mm,MaxRootingDepth_mm,θs,θr,Ks,Ψm,σ,σMac,ΨmMac,θsMacMat,θsMacMat_ƞ,0mm,500mm,1000mm,2000mm,3300mm,4000mm,10000mm,150000mm
14112432210571022,Danvk_57a.2,350.0,0,0.125,3000.0,1000.0,0.60375,0.17499999999331775,0.3770179489216232,16399.258099766717,2.467468760598929,0.8025394783481651,0.7675,10.0,0.48453321005270467,0.60375,0.46020431271351536,0.44476700379261574,0.42358486918397775,0.40469935252955314,0.3967115743412999,0.3543568831317456,0.2322174734650985
14112432210571023,Danvk_57a.2,1000.0,0,0.0,3000.0,1000.0,0.683,0.08269504465010515,0.257398647846121,114542.6948792215,3.115372606196229,0.8936283417315933,0.7675,10.0,0.6103481574026783,0.683,0.5889493120037228,0.5765621790191644,0.5592076631850711,0.5431017958226027,0.5360633715258443,0.4958973563821504,0.3283217639850066
16112417110251021,Fanga_25a.2,100.0,1,0.0,3000.0,1000.0,0.541,5.938702633576545e-9,0.3379204343453688,108989.69375185271,3.084334649750507,0.8080859798611862,0.7675,10.0,0.4371745151049018,0.541,0.4194998460205343,0.4091381995389647,0.39457509485413617,0.3810334432151221,0.375110835142986,0.34128821758305,0.20055964740490992
16112417110251022,Fanga_25a.2,350.0,0,0.0,3000.0,1000.0,0.453,0.09622768435953007,0.1738133323913826,75807.28214653544,2.9777881810540787,0.8754881814037717,0.7675,10.0,0.3965961461759086,0.453,0.38281755337233264,0.3746561953763382,0.3632264340062246,0.3526601791779424,0.34805989236549284,0.3220517827574615,0.21918820757051932
16112417110251023,Fanga_25a.2,1000.0,0,0.0,3000.0,1000.0,0.435,0.1832033663713723,0.0048624488874052275,101886.49036992848,2.872237817038598,0.9916042350674014,0.7675,10.0,0.4313478422543196,0.435,0.42338925436619457,0.4180185667101462,0.41011292058114873,0.402511973779269,0.39913110960263254,0.3793629203383013,0.2939850595784755
16112417110251024,Fanga_25a.2,1020.0,0,0.0,3000.0,1000.0,0.478,0.1999999918799096,0.005828449683165003,277984.59974987985,3.300207115671305,0.9999999972057656,0.7675,10.0,0.47799999866435594,0.47799999866435594,0.4702909239303904,0.46574656987621077,0.45925358293735385,0.45310116890040053,0.45037530557268424,0.4343968981968024,0.3596122887030868
16152815000441021,Fere_44a.2,100.0,1,0.0,3000.0,1000.0,0.44,0.040999999999999946,0.3465100479692094,804.4513995431082,1.4625251536175885,0.7500000000000447,0.7675,10.0,0.33000000000001967,0.44,0.2223386855276843,0.1684095670798635,0.1180863178304826,0.08933279736114237,0.08041832394817015,0.053261944005786134,0.04105064727994151
16152815000441022,Fere_44a.2,350.0,0,0.0,3000.0,1000.0,0.427,0.059999999999965394,0.3348523843149396,924.6689154026284,1.5089502170490197,0.750000000000067,0.7675,10.0,0.32025000000002857,0.427,0.23128685473426575,0.18473856996531854,0.13926806747686754,0.11194010204167854,0.1031674922535945,0.074912185455321,0.0600969242068283
16152815000441023,Fere_44a.2,1000.0,0,0.0,3000.0,1000.0,0.425,0.05699999999999607,0.3332373619577642,1282.513519021109,1.617997341713337,0.7500000000004143,0.7675,10.0,0.31875000000017606,0.425,0.24540190218119956,0.20387051923259542,0.15955528791879053,0.1301776089771901,0.12008801835272612,0.08374109230620891,0.05742536696646642
16252821000111021,Fork_11a.2,100.0,1,0.0,3000.0,975.0,0.507,0.06668739883449942,0.01546872872053082,7443.458088430117,2.204168574500108,0.9116692611056372,0.7675,10.0,0.4622163153805581,0.507,0.4186071008881169,0.39053586541497826,0.35324364565249255,0.32138776839703753,0.30832997430627995,0.243378410810279,0.10090519168560494
