Id,Diameter[mm],Cumul_Psd
38,0.01,0.44
38,0.02,0.6
38,0.063,0.95
38,0.125,0.99
38,0.25,1
38,0.5,1
38,1,1
38,2,1
39,0.002,0.35
39,0.006,0.43
39,0.01,0.51
39,0.02,0.66
39,0.063,0.96
39,0.125,1
39,0.25,1
39,0.5,1
39,1,1
39,2,1
40,0.002,0.26
40,0.006,0.35
40,0.01,0.43
40,0.02,0.6
40,0.063,0.93
40,0.125,0.98
40,0.25,0.99
40,0.5,0.99
40,1,1
40,2,1
41,0.002,0.28
41,0.006,0.37
41,0.01,0.44
41,0.02,0.6
41,0.063,0.94
41,0.125,0.99
41,0.25,1
41,0.5,1
41,1,1
41,2,1
42,0.002,0.29
42,0.006,0.37
42,0.01,0.44
42,0.02,0.6
42,0.063,0.94
42,0.125,0.99
42,0.25,1
42,0.5,1
42,1,1
42,2,1
43,0.002,0.31
43,0.006,0.38
43,0.01,0.44
43,0.02,0.6
43,0.063,0.94
43,0.125,0.99
43,0.25,1
43,0.5,1
43,1,1
43,2,1
44,0.002,0.36
44,0.006,0.44
44,0.01,0.5
44,0.02,0.66
44,0.063,0.95
44,0.125,1
44,0.25,1
44,0.5,1
44,1,1
44,2,1
45,0.002,0.27
45,0.006,0.37
45,0.01,0.44
45,0.02,0.6
45,0.063,0.95
45,0.125,0.99
45,0.25,0.99
45,0.5,1
45,1,1
45,2,1
46,0.002,0.29
46,0.006,0.38
46,0.01,0.45
46,0.02,0.61
46,0.063,0.95
46,0.125,0.99
46,0.25,1
46,0.5,1
46,1,1
46,2,1
47,0.002,0.33
47,0.006,0.41
47,0.01,0.48
47,0.02,0.62
47,0.063,0.95
47,0.125,0.99
47,0.25,1
47,0.5,1
47,1,1
47,2,1
48,0.002,0.36
48,0.006,0.44
48,0.01,0.5
48,0.02,0.64
48,0.063,0.95
48,0.125,0.99
48,0.25,1
48,0.5,1
48,1,1
48,2,1
49,0.002,0.41
49,0.006,0.48
49,0.01,0.54
49,0.02,0.69
49,0.063,0.96
49,0.125,1
49,0.25,1
49,0.5,1
49,1,1
49,2,1
50,0.002,0.28
50,0.006,0.36
50,0.01,0.42
50,0.02,0.56
50,0.063,0.9
50,0.125,0.96
50,0.25,0.98
50,0.5,0.99
50,1,1
50,2,1
51,0.002,0.3
51,0.006,0.38
51,0.01,0.43
51,0.02,0.55
51,0.063,0.89
51,0.125,0.97
51,0.25,0.99
51,0.5,0.99
51,1,1
51,2,1
52,0.002,0.27
52,0.006,0.37
52,0.01,0.44
52,0.02,0.59
52,0.063,0.94
52,0.125,0.99
52,0.25,0.99
52,0.5,1
52,1,1
52,2,1
53,0.002,0.28
53,0.006,0.37
53,0.01,0.45
53,0.02,0.61
53,0.063,0.95
53,0.125,0.99
53,0.25,1
53,0.5,1
53,1,1
53,2,1
54,0.002,0.31
54,0.006,0.4
54,0.01,0.47
54,0.02,0.63
54,0.063,0.95
54,0.125,1
54,0.25,1
54,0.5,1
54,1,1
54,2,1
55,0.002,0.34
55,0.006,0.43
55,0.01,0.5
55,0.02,0.64
55,0.063,0.95
55,0.125,1
55,0.25,1
55,0.5,1
55,1,1
55,2,1
56,0.002,0.37
56,0.006,0.45
56,0.01,0.52
56,0.02,0.66
56,0.063,0.96
56,0.125,1
56,0.25,1
56,0.5,1
56,1,1
56,2,1
57,0.002,0.25
57,0.006,0.35
57,0.01,0.42
57,0.02,0.57
57,0.063,0.94
57,0.125,0.98
57,0.25,0.99
57,0.5,0.99
57,1,1
57,2,1
58,0.002,0.25
58,0.006,0.35
58,0.01,0.42
58,0.02,0.58
58,0.063,0.94
58,0.125,0.99
58,0.25,1
58,0.5,1
58,1,1
58,2,1
59,0.002,0.25
59,0.006,0.35
59,0.01,0.43
59,0.02,0.59
59,0.063,0.94
59,0.125,0.99
59,0.25,1
59,0.5,1
59,1,1
59,2,1
60,0.002,0.33
60,0.006,0.41
60,0.01,0.47
60,0.02,0.61
60,0.063,0.94
60,0.125,0.99
60,0.25,1
60,0.5,1
60,1,1
60,2,1
61,0.002,0.34
61,0.006,0.42
61,0.01,0.49
61,0.02,0.65
61,0.063,0.95
61,0.125,0.99
61,0.25,1
61,0.5,1
61,1,1
61,2,1
62,0.002,0.25
62,0.006,0.36
62,0.01,0.42
62,0.02,0.6
62,0.063,0.94
62,0.125,0.98
62,0.25,0.99
62,0.5,0.99
62,1,1
62,2,1
63,0.002,0.26
63,0.006,0.36
63,0.01,0.43
63,0.02,0.6
63,0.063,0.95
63,0.125,0.99
63,0.25,1
63,0.5,1
63,1,1
63,2,1
64,0.002,0.32
64,0.006,0.41
64,0.01,0.48
64,0.02,0.62
64,0.063,0.93
64,0.125,0.99
64,0.25,1
64,0.5,1
64,1,1
64,2,1
65,0.002,0.33
65,0.006,0.42
65,0.01,0.48
65,0.02,0.62
65,0.063,0.93
65,0.125,0.99
65,0.25,1
65,0.5,1
65,1,1
65,2,1
66,0.002,0.34
66,0.006,0.43
66,0.01,0.49
66,0.02,0.64
66,0.063,0.95
66,0.125,0.99
66,0.25,1
66,0.5,1
66,1,1
66,2,1
