Id,Diameter[mm],Cumul_Psd
11281417250091012,0.06,0.35
11281417250091012,2,1
11281417250091013,0.002,0.25
11281417250091013,0.06,0.44999999999999996
11281417250091013,2,1
11281417250091014,0.002,0.175
11281417250091014,0.06,0.35
11281417250091014,2,1
11281422000101011,0.002,0.2
11281422000101011,0.06,0.5
11281422000101011,2,1
11281422000101012,0.002,0.2
11281422000101012,0.06,0.6
11281422000101012,2,1
11281422000021011,0.002,0.115
11281422000021011,0.06,0.825
11281422000021011,2,1
11281422000021012,0.002,0.115
11281422000021012,0.06,0.775
11281422000021012,2,1
11281422000031011,0.002,0.22
11281422000031011,0.06,0.75
11281422000031011,2,1
11281422000031012,0.002,0.21
11281422000031012,0.06,0.76
11281422000031012,2,1
11281422000072011,0.002,0.25
11281422000072011,0.06,0.5
11281422000072011,2,1
11281422000072012,0.002,0.6
11281422000072012,0.06,0.9
11281422000072012,2,1
11282825330011011,0.002,0.13
11282825330011011,0.06,0.775
11282825330011011,2,1
11282825330011012,0.002,0.13
11282825330011012,0.06,0.5
11282825330011012,2,1
11282825330032011,0.002,0.13
11282825330032011,0.06,0.8
11282825330032011,2,1
11282825330032012,0.002,0.13
11282825330032012,0.06,0.4
11282825330032012,2,1
11282825330042011,0.002,0.13
11282825330042011,0.06,0.7
11282825330042011,2,1
11282825330042012,0.002,0.13
11282825330042012,0.06,0.6
11282825330042012,2,1
11291812000121011,0.002,0.025
11291812000121011,0.06,0.19999999999999996
11291812000121011,2,1
11291812000121012,0.002,0.015
11291812000121012,0.06,0.09999999999999998
11291812000121012,2,1
11291812000121013,0.002,0.015
11291812000121013,0.06,0.07499999999999996
11291812000121013,2,1
11291815280061011,0.002,0.16
11291815280061011,0.06,0.825
11291815280061011,2,1
11291815280061012,0.002,0.175
11291815280061012,0.06,0.825
11291815280061012,2,1
11291815280061013,0.002,0.175
11291815280061013,0.06,0.65
11291815280061013,2,1
11291815280061014,0.002,0.175
11291815280061014,0.06,0.65
11291815280061014,2,1
11291815280071011,0.002,0.225
11291815280071011,0.06,0.9
11291815280071011,2,1
11291815280071012,0.002,0.225
11291815280071012,0.06,0.9
11291815280071012,2,1
11291815280071013,0.002,0.225
11291815280071013,0.06,0.9
11291815280071013,2,1
11291815280071014,0.002,0.225
11291815280071014,0.06,0.9
11291815280071014,2,1
11291830000011011,0.002,0.25
11291830000011011,0.06,0.925
11291830000011011,2,1
11291830000011012,0.002,0.25
11291830000011012,0.06,0.925
11291830000011012,2,1
11291830000011013,0.002,0.25
11291830000011013,0.06,0.65
11291830000011013,2,1
11301825220211011,0.002,0.3
11301825220211011,0.06,0.875
11301825220211011,2,1
11301825220211012,0.002,0.3
11301825220211012,0.06,0.875
11301825220211012,2,1
11301825220211013,0.002,0.3
11301825220211013,0.06,0.875
11301825220211013,2,1
11301825220061011,0.002,0.225
11301825220061011,0.06,0.85
11301825220061011,2,1
11301825220061012,0.002,0.225
11301825220061012,0.06,0.85
11301825220061012,2,1
11301825220061013,0.002,0.225
11301825220061013,0.06,0.85
11301825220061013,2,1
11301825220061014,0.002,0.225
11301825220061014,0.06,0.85
11301825220061014,2,1
11311318280092011,0.002,0.575
11311318280092011,0.06,0.9299999999999999
11311318280092011,2,1
11311318280092012,0.002,0.575
11311318280092012,0.06,0.9299999999999999
11311318280092012,2,1
11311318280092013,0.002,0.575
11311318280092013,0.06,0.9299999999999999
11311318280092013,2,1
11311318280092014,0.002,0.575
11311318280092014,0.06,0.9299999999999999
11311318280092014,2,1
11331123000011011,0.002,0.25
11331123000011011,0.06,0.825
11331123000011011,2,1
11331123000011012,0.002,0.4
11331123000011012,0.06,0.75
11331123000011012,2,1
11331123000011013,0.002,0.2
11331123000011013,0.06,0.65
11331123000011013,2,1
11331130150111011,0.002,0.04
11331130150111011,0.06,0.25
11331130150111011,2,1
11331130150111012,0.002,0.04
11331130150111012,0.06,0.25
11331130150111012,2,1
11331130150111013,0.002,0.125
11331130150111013,0.06,0.55
11331130150111013,2,1
11331130150141011,0.002,0.055
11331130150141011,0.06,0.35
11331130150141011,2,1
11331130150141012,0.002,0.045
11331130150141012,0.06,0.275
11331130150141012,2,1
11331130150161011,0.002,0.055
11331130150161011,0.06,0.35
11331130150161011,2,1
11331130150161012,0.002,0.055
11331130150161012,0.06,0.35
11331130150161012,2,1
11331130150161013,0.002,0.24
11331130150161013,0.06,0.6
11331130150161013,2,1
11331130150161014,0.002,0.13
11331130150161014,0.06,0.35
11331130150161014,2,1
11331130150181011,0.002,0.055
11331130150181011,0.06,0.35
11331130150181011,2,1
11331130150181012,0.002,0.045
11331130150181012,0.06,0.275
11331130150181012,2,1
11331130150181013,0.002,0.045
11331130150181013,0.06,0.275
11331130150181013,2,1
11352815000011011,0.002,0.4980769230769231
11352815000011011,0.06,0.925
11352815000011011,2,1
11352815000011012,0.002,0.5125
11352815000011012,0.06,0.95
11352815000011012,2,1
11352815000011013,0.002,0.525
11352815000011013,0.06,0.875
11352815000011013,2,1
11352815000011014,0.002,0.225
11352815000011014,0.06,0.65
11352815000011014,2,1
11352815000011021,0.002,0.4980769230769231
11352815000011021,0.06,0.95
11352815000011021,2,1
11352815000011022,0.002,0.5125
11352815000011022,0.06,0.95
11352815000011022,2,1
11352815000011023,0.002,0.525
11352815000011023,0.06,0.875
11352815000011023,2,1
11352815000011024,0.002,0.225
11352815000011024,0.06,0.65
11352815000011024,2,1
11352815000051011,0.002,0.5
11352815000051011,0.06,0.94
11352815000051011,2,1
11352815000051012,0.002,0.55
11352815000051012,0.06,0.94
11352815000051012,2,1
11352815000051013,0.002,0.55
11352815000051013,0.06,0.94
11352815000051013,2,1
11352815000062011,0.002,0.5
11352815000062011,0.06,0.94
11352815000062011,2,1
11352815000062012,0.002,0.5
11352815000062012,0.06,0.94
11352815000062012,2,1
11352815000062013,0.002,0.55
11352815000062013,0.06,0.94
11352815000062013,2,1
11352815000062014,0.002,0.425
11352815000062014,0.06,0.85
11352815000062014,2,1
12111321000041011,0.002,0.24
12111321000041011,0.06,0.6
12111321000041011,2,1
12111321000041012,0.002,0.275
12111321000041012,0.06,0.6
12111321000041012,2,1
12112223000101011,0.002,0.19666666666666666
12112223000101011,0.06,0.8666666666666667
12112223000101011,2,1
12112223000101012,0.002,0.14
12112223000101012,0.06,0.625
12112223000101012,2,1
12112223000101013,0.002,0.035
12112223000101013,0.06,0.125
12112223000101013,2,1
12112223000101014,0.002,0.02
12112223000101014,0.06,0.09999999999999998
12112223000101014,2,1
12112223000101021,0.002,0.2
12112223000101021,0.06,0.825
12112223000101021,2,1
12112223000101022,0.002,0.14
12112223000101022,0.06,0.625
12112223000101022,2,1
12112223000101023,0.002,0.035
12112223000101023,0.06,0.125
12112223000101023,2,1
12112223000101024,0.002,0.02
12112223000101024,0.06,0.09999999999999998
12112223000101024,2,1
12112223000011011,0.002,0.215
12112223000011011,0.06,0.85
12112223000011011,2,1
12112223000011012,0.002,0.215
12112223000011012,0.06,0.825
12112223000011012,2,1
12112223000011013,0.002,0.125
12112223000011013,0.06,0.55
12112223000011013,2,1
12112223000011014,0.002,0.025
12112223000011014,0.06,0.125
12112223000011014,2,1
12112223000011015,0.002,0.015
12112223000011015,0.06,0.09999999999999998
12112223000011015,2,1
12112223000211011,0.002,0.225
12112223000211011,0.06,0.7
12112223000211011,2,1
12112223000211012,0.002,0.225
12112223000211012,0.06,0.7
12112223000211012,2,1
12112223000211013,0.002,0.2
12112223000211013,0.06,0.5
12112223000211013,2,1
12112223000211014,0.002,0.04
12112223000211014,0.06,0.125
12112223000211014,2,1
12112223000212131,0.002,0.2
12112223000212131,0.06,0.75
12112223000212131,2,1
12112223000212132,0.002,0.175
12112223000212132,0.06,0.75
12112223000212132,2,1
12112223000212133,0.002,0.175
12112223000212133,0.06,0.75
12112223000212133,2,1
12112223000212134,0.002,0.045
12112223000212134,0.06,0.15000000000000002
12112223000212134,2,1
12112223000281011,0.002,0.225
12112223000281011,0.06,0.775
12112223000281011,2,1
12112223000281012,0.002,0.225
12112223000281012,0.06,0.775
12112223000281012,2,1
12112223000281013,0.002,0.15
12112223000281013,0.06,0.65
12112223000281013,2,1
12112223000281014,0.002,0.055
12112223000281014,0.06,0.25
12112223000281014,2,1
12112223000021011,0.002,0.2
12112223000021011,0.06,0.8666666666666667
12112223000021011,2,1
12112223000021012,0.002,0.15
12112223000021012,0.06,0.675
12112223000021012,2,1
12112223000021013,0.002,0.035
12112223000021013,0.06,0.125
12112223000021013,2,1
12112223000021014,0.002,0.02
12112223000021014,0.06,0.09999999999999998
12112223000021014,2,1
12112828000161011,0.002,0.215
12112828000161011,0.06,0.9
12112828000161011,2,1
12112828000161012,0.002,0.215
12112828000161012,0.06,0.875
12112828000161012,2,1
12112828000161013,0.002,0.2
12112828000161013,0.06,0.8
12112828000161013,2,1
12112828000221011,0.002,0.16
12112828000221011,0.06,0.875
12112828000221011,2,1
12112828000221012,0.002,0.185
12112828000221012,0.06,0.875
12112828000221012,2,1
12112828000221013,0.002,0.1
12112828000221013,0.06,0.75
12112828000221013,2,1
12112828000301011,0.002,0.215
12112828000301011,0.06,0.9
12112828000301011,2,1
12112828000301012,0.002,0.215
12112828000301012,0.06,0.9
12112828000301012,2,1
12112828000301013,0.002,0.215
12112828000301013,0.06,0.825
12112828000301013,2,1
12112828000301014,0.002,0.1
12112828000301014,0.06,0.275
12112828000301014,2,1
12112828000301015,0.002,0.02
12112828000301015,0.06,0.09999999999999998
12112828000301015,2,1
12112828000331011,0.002,0.13
12112828000331011,0.06,0.30000000000000004
12112828000331011,2,1
12112828000331012,0.002,0.13
12112828000331012,0.06,0.30000000000000004
12112828000331012,2,1
12112828000331013,0.002,0.085
12112828000331013,0.06,0.30000000000000004
12112828000331013,2,1
12112828000351011,0.002,0.14
12112828000351011,0.06,0.5
12112828000351011,2,1
12112828000351012,0.002,0.1
12112828000351012,0.06,0.5
12112828000351012,2,1
12112828000351013,0.002,0.1
12112828000351013,0.06,0.5
12112828000351013,2,1
12112828000351014,0.002,0.125
12112828000351014,0.06,0.35
12112828000351014,2,1
12112828000361011,0.002,0.13
12112828000361011,0.06,0.85
12112828000361011,2,1
12112828000361012,0.002,0.13
12112828000361012,0.06,0.85
12112828000361012,2,1
12112828000361013,0.002,0.09
12112828000361013,0.06,0.4
12112828000361013,2,1
12112828000371011,0.002,0.09
12112828000371011,0.06,0.85
12112828000371011,2,1
12112828000371012,0.002,0.1
12112828000371012,0.06,0.85
12112828000371012,2,1
12112828000371013,0.002,0.065
12112828000371013,0.06,0.7
12112828000371013,2,1
12112828000371014,0.002,0.125
12112828000371014,0.06,0.65
12112828000371014,2,1
12112828000381011,0.002,0.09
12112828000381011,0.06,0.85
12112828000381011,2,1
12112828000381012,0.002,0.1
12112828000381012,0.06,0.85
12112828000381012,2,1
12112828000381013,0.002,0.1
12112828000381013,0.06,0.7
12112828000381013,2,1
12112828000381014,0.002,0.125
12112828000381014,0.06,0.65
12112828000381014,2,1
12112828000391011,0.002,0.24
12112828000391011,0.06,0.6
12112828000391011,2,1
12112828000391012,0.002,0.215
12112828000391012,0.06,0.6
12112828000391012,2,1
12112828000391013,0.002,0.13
12112828000391013,0.06,0.35
12112828000391013,2,1
12112828000391014,0.002,0.1
12112828000391014,0.06,0.35
12112828000391014,2,1
