0,id,Year,Month,Day,Hour,Minute,Second,Pr_mm,Pet_mm,Temp_c
,133,2015,6,7,10,0,1,0,0,5.007928467
,134,2015,6,7,11,0,1,0,0,3.663049316
,135,2015,6,7,12,0,1,0,0,2.52074585
,136,2015,6,7,13,0,1,0,0,1.658837891
,137,2015,6,7,14,0,1,0,0,1.136132813
,138,2015,6,7,15,0,1,0,0,0.988183594
,139,2015,6,7,16,0,1,0,0,1.227197266
,140,2015,6,7,17,0,1,0,0,1.838189697
,141,2015,6,7,18,0,1,0,0,2.779504395
,142,2015,6,7,19,0,1,0,0,3.987023926
,143,2015,6,7,20,0,1,0,0.037817459,5.378442383
,144,2015,6,7,21,0,1,0,0.148697669,6.858911133
,145,2015,6,7,22,0,1,0,0.2474621,9.431085205
,146,2015,6,7,23,0,1,0,0.306781178,10.41890869
,147,2015,6,8,0,0,1,0,0.324358843,11.25792847
,148,2015,6,8,1,0,1,0,0.298799627,11.89101563
,149,2015,6,8,2,0,1,0,0.229121099,12.27495728
,150,2015,6,8,3,0,1,0,0.119726516,12.38363037
,151,2015,6,8,4,0,1,0,0,12.20961914
,152,2015,6,8,5,0,1,0,0,11.7647644
,153,2015,6,8,6,0,1,0,0,11.07943115
,154,2015,6,8,7,0,1,0,0,10.20028076
,155,2015,6,8,8,0,1,0,0,9.187219238
,156,2015,6,8,9,0,1,0,0,8.109338379
,157,2015,6,8,10,0,1,0,0,7.040032959
,158,2015,6,8,11,0,1,0,0,6.052209473
,159,2015,6,8,12,0,1,0,0,5.21315918
,160,2015,6,8,13,0,1,0,0,4.580102539
,161,2015,6,8,14,0,1,0,0,4.196160889
,162,2015,6,8,15,0,1,0,0,4.087731934
,163,2015,6,8,16,0,1,0,0,4.284814453
,164,2015,6,8,17,0,1,0,0,4.788598633
,165,2015,6,8,18,0,1,0,0,5.564782715
,166,2015,6,8,19,0,1,0,0,6.560449219
,167,2015,6,8,20,0,1,0,0.036220903,7.707757568
,168,2015,6,8,21,0,1,0,0.144396428,8.928521729
,169,2015,6,8,22,0,1,0,0.244607596,12.27529297
,170,2015,6,8,23,0,1,0,0.298411964,12.67995605
,171,2015,6,9,0,0,1,0,0.311375305,13.02364502
,172,2015,6,9,1,0,1,0,0.283947244,13.2829834
,173,2015,6,9,2,0,1,0,0.216274377,13.44024048
,174,2015,6,9,3,0,1,0,0.111529334,13.48476563
,175,2015,6,9,4,0,1,0,0,13.41347656
,176,2015,6,9,5,0,1,0,0,13.2312561
,177,2015,6,9,6,0,1,0,0,12.9505249
,178,2015,6,9,7,0,1,0,0,12.59038696
,179,2015,6,9,8,0,1,0,0,12.17540894
,180,2015,6,9,9,0,1,0,0,11.7338501
,181,2015,6,9,10,0,1,0,0,11.2958313
,182,2015,6,9,11,0,1,0,0,10.89116821
,183,2015,6,9,12,0,1,0,0,10.54747925
,184,2015,6,9,13,0,1,0,0,10.28814087
,185,2015,6,9,14,0,1,0,0,10.13085327
,186,2015,6,9,15,0,1,0,0,10.08648071
,187,2015,6,9,16,0,1,0,0,10.17034302
,188,2015,6,9,17,0,1,0,0,10.384729
,189,2015,6,9,18,0,1,0,0,10.71502075
,190,2015,6,9,19,0,1,0,0,11.13869629
,191,2015,6,9,20,0,1,0,0.011130059,11.6269165
,192,2015,6,9,21,0,1,0,0.044140586,12.14638672
,193,2015,6,9,22,0,1,0,0.068201814,11.94979248
,194,2015,6,9,23,0,1,0,0.110142988,12.66390381
,195,2015,6,10,0,0,1,0,0.146197839,13.27041016
,196,2015,6,10,1,0,1,4.180278629,0.155253874,13.72805176
,197,2015,6,10,2,0,1,1.026463695,0.128255633,14.00560913
,198,2015,6,10,3,0,1,2.101426246,0.068321533,14.08416138
,199,2015,6,10,4,0,1,0,0,13.95836792
,200,2015,6,10,5,0,1,0,0,13.6368042
,201,2015,6,10,6,0,1,0,0,13.14138184
,202,2015,6,10,7,0,1,0.338664569,0,12.50585327
,203,2015,6,10,8,0,1,0.258984102,0,11.77352295
,204,2015,6,10,9,0,1,0.852247351,0,10.99431763
,205,2015,6,10,10,0,1,0,0,10.22133789
,206,2015,6,10,11,0,1,0,0,9.507226563
,207,2015,6,10,12,0,1,0,0,8.900689697
,208,2015,6,10,13,0,1,0,0,8.443048096
,209,2015,6,10,14,0,1,0,0,8.16552124
,210,2015,6,10,15,0,1,0,0,8.086846924
,211,2015,6,10,16,0,1,0.040397088,0,8.204248047
,212,2015,6,10,17,0,1,0.080794176,0,8.504388428
,213,2015,6,10,18,0,1,0,0,8.966790771
,214,2015,6,10,19,0,1,0,0,9.559960938
,215,2015,6,10,20,0,1,0,0.019830322,10.24346313
,216,2015,6,10,21,0,1,0,0.080693528,10.97072754
,217,2015,6,10,22,0,1,0,0.125405437,10.90908203
,218,2015,6,10,23,0,1,1.208332251,0.171879015,11.83739624
,219,2015,6,11,0,0,1,0.604166125,0.218631845,12.62587891
,220,2015,6,11,1,0,1,0,0.224112315,13.22081909
,221,2015,6,11,2,0,1,0,0.180920557,13.58162842
,222,2015,6,11,3,0,1,0,0.095372081,13.68377075
,223,2015,6,11,4,0,1,0,0,13.52022705
,224,2015,6,11,5,0,1,0,0,13.10219727
,225,2015,6,11,6,0,1,0,0,12.45812378
,226,2015,6,11,7,0,1,0.769214355,0,11.63192139
,227,2015,6,11,8,0,1,0.585380127,0,10.67989502
,228,2015,6,11,9,0,1,1.386371558,0,9.666925049
,229,2015,6,11,10,0,1,0,0,8.662042236
,230,2015,6,11,11,0,1,0,0,7.733728027
,231,2015,6,11,12,0,1,0,0,6.945245361
,232,2015,6,11,13,0,1,0,0,6.350305176
,233,2015,6,11,14,0,1,0,0,5.989465332
,234,2015,6,11,15,0,1,0,0,5.887109375
,235,2015,6,11,16,0,1,0,0,6.0296875
,236,2015,6,11,17,0,1,0,0,6.394128418
,237,2015,6,11,18,0,1,0,0,6.955621338
,238,2015,6,11,19,0,1,0,0,7.675897217
,239,2015,6,11,20,0,1,0,0.029439851,8.505883789
,240,2015,6,11,21,0,1,0,0.122462341,9.388970947
,241,2015,6,11,22,0,1,0,0.094771181,10.97695313
,242,2015,6,11,23,0,1,0,0.116403702,11.54821167
,243,2015,6,12,0,0,1,0,0.12207657,12.03344116
,244,2015,6,12,1,0,1,0,0.111539826,12.39956055
,245,2015,6,12,2,0,1,0,0.084835796,12.62160645
,246,2015,6,12,3,0,1,0,0.043849439,12.68444214
,247,2015,6,12,4,0,1,0,0,12.58382568
,248,2015,6,12,5,0,1,0,0,12.3265625
,249,2015,6,12,6,0,1,0,0,11.93023071
,250,2015,6,12,7,0,1,2.724999795,0,11.42177734
,251,2015,6,12,8,0,1,3.308340907,0,10.8359314
,252,2015,6,12,9,0,1,0,0,10.21254883
,253,2015,6,12,10,0,1,0,0,9.594171143
,254,2015,6,12,11,0,1,0,0,9.02288208
,255,2015,6,12,12,0,1,0,0,8.537652588
,256,2015,6,12,13,0,1,0,0,8.171563721
,257,2015,6,12,14,0,1,0,0,7.949517822
,258,2015,6,12,15,0,1,0,0,7.886621094
,259,2015,6,12,16,0,1,0,0,7.985162354
,260,2015,6,12,17,0,1,0,0,8.237084961
,261,2015,6,12,18,0,1,0,0,8.625146484
,262,2015,6,12,19,0,1,0,0,9.123010254
,263,2015,6,12,20,0,1,0,0.013607931,9.69664917
,264,2015,6,12,21,0,1,0,0.057030735,10.30703125
,265,2015,6,12,22,0,1,0,0.092248083,11.6244751
,266,2015,6,12,23,0,1,0,0.112615468,11.94579468
,267,2015,6,13,0,0,1,0,0.117503587,12.2187439
,268,2015,6,13,1,0,1,0,0.106903346,12.42467651
,269,2015,6,13,2,0,1,0,0.081044585,12.54958496
,270,2015,6,13,3,0,1,0,0.040050454,12.58492432
,271,2015,6,13,4,0,1,0,0,12.52831421
,272,2015,6,13,5,0,1,0,0,12.38363037
,273,2015,6,13,6,0,1,0,0,12.16066895
,274,2015,6,13,7,0,1,0,0,11.87468872
,275,2015,6,13,8,0,1,0,0,11.54512939
,276,2015,6,13,9,0,1,0,0,11.19448242
,277,2015,6,13,10,0,1,0,0,10.84664307
,278,2015,6,13,11,0,1,0,0,10.52529297
,279,2015,6,13,12,0,1,0,0,10.25237427
,280,2015,6,13,13,0,1,0,0,10.04641113
,281,2015,6,13,14,0,1,0,0,9.921533203
,282,2015,6,13,15,0,1,0,0,9.886071777
,283,2015,6,13,16,0,1,0,0,9.932183838
