Year,Month,Day,Hour,Minute,Second,PET(mm),Rain(mm)
2017,11,5,9,0,0,4.21689367294,4.0
2017,11,6,9,0,0,4.21760368347,0.0
2017,11,7,9,0,0,4.89950370789,3.2
2017,11,8,9,0,0,3.82814908028,0.0
2017,11,9,9,0,0,4.96086215973,0.0
2017,11,10,9,0,0,3.28726482391,0.0
2017,11,11,9,0,0,3.18293428421,0.0
2017,11,12,9,0,0,2.10723543167,0.2
2017,11,13,9,0,0,3.46241188049,0.0
2017,11,14,9,0,0,3.02924776077,0.0
2017,11,15,9,0,0,4.83144903183,0.0
2017,11,16,9,0,0,4.72908401489,0.0
2017,11,17,9,0,0,3.55719852448,0.0
2017,11,18,9,0,0,3.31458115578,0.0
2017,11,19,9,0,0,4.97651863098,0.0
2017,11,20,9,0,0,5.39764022827,0.0
2017,11,21,9,0,0,2.73437523842,0.0
2017,11,22,9,0,0,5.35979604721,0.0
2017,11,23,9,0,0,5.86510658264,0.0
2017,11,24,9,0,0,4.76172208786,0.0
2017,11,25,9,0,0,3.50223755836,0.0
2017,11,26,9,0,0,2.20741868019,0.0
2017,11,27,9,0,0,4.63194465637,0.2
2017,11,28,9,0,0,4.09022521973,0.0
2017,11,29,9,0,0,2.27494454384,0.0
2017,11,30,9,0,0,3.88701462746,0.0
2017,12,1,9,0,0,5.14402723312,0.0
2017,12,2,9,0,0,6.49536752701,0.0
2017,12,3,9,0,0,6.18836164474,0.0
2017,12,4,9,0,0,6.35960197449,0.0
2017,12,5,9,0,0,7.34766530991,0.0
2017,12,6,9,0,0,5.40017986298,0.0
2017,12,7,9,0,0,6.06759262085,0.0
2017,12,8,9,0,0,7.35570907593,0.0
2017,12,9,9,0,0,6.03799819946,0.0
2017,12,10,9,0,0,5.5819478035,0.0
2017,12,11,9,0,0,7.02183103561,0.0
2017,12,12,9,0,0,3.21951556206,0.0
2017,12,13,9,0,0,3.80150461197,8.0
2017,12,14,9,0,0,4.60795783997,0.0
2017,12,15,9,0,0,5.97695541382,0.0
2017,12,16,9,0,0,5.91458511353,0.0
2017,12,17,9,0,0,5.99000120163,3.2
2017,12,18,9,0,0,2.0827562809,0.0
2017,12,19,9,0,0,2.77640795708,3.0
2017,12,20,9,0,0,4.91308498383,0.0
2017,12,21,9,0,0,4.16882276535,0.4
2017,12,22,9,0,0,2.47812199593,0.0
2017,12,23,9,0,0,5.20202207565,0.6
2017,12,24,9,0,0,6.57713747025,0.0
2017,12,25,9,0,0,6.77430486679,0.8
2017,12,26,9,0,0,1.27819228172,14.4
2017,12,27,9,0,0,2.86234807968,0.0
2017,12,28,9,0,0,3.62205862999,0.0
2017,12,29,9,0,0,5.53274059296,0.0
2017,12,30,9,0,0,6.18274784088,0.0
2017,12,31,9,0,0,2.42063999176,0.0
2018,1,1,9,0,0,3.90805149078,0.0
2018,1,2,9,0,0,5.08075618744,0.0
2018,1,3,9,0,0,5.82267999649,0.0
2018,1,4,9,0,0,3.89206576347,27.8
2018,1,5,9,0,0,0.975158989429,15.0
2018,1,6,9,0,0,1.33920323849,0.2
2018,1,7,9,0,0,5.11935520172,0.4
2018,1,8,9,0,0,5.91174077988,0.0
2018,1,9,9,0,0,3.0140235424,0.4
2018,1,10,9,0,0,0.740660011768,32.6
2018,1,11,9,0,0,0.725546300411,29.0
2018,1,12,9,0,0,0.862205505371,12.4
2018,1,13,9,0,0,4.78299379349,0.0
2018,1,14,9,0,0,6.26225423813,0.0
2018,1,15,9,0,0,5.34669589996,0.0
2018,1,16,9,0,0,5.55123233795,0.0
2018,1,17,9,0,0,3.01387667656,0.0
2018,1,18,9,0,0,5.36275196075,0.0
2018,1,19,9,0,0,5.25440311432,0.0
2018,1,20,9,0,0,6.27810811996,0.0
2018,1,21,9,0,0,5.51417303085,0.0
2018,1,22,9,0,0,3.85334777832,0.0
2018,1,23,9,0,0,6.22008085251,0.0
2018,1,24,9,0,0,6.99730634689,0.0
2018,1,25,9,0,0,6.18769693375,0.2
2018,1,26,9,0,0,1.5623998642,0.0
2018,1,27,9,0,0,6.11310100555,0.0
2018,1,28,9,0,0,4.96844768524,0.0
2018,1,29,9,0,0,6.16893672943,0.0
2018,1,30,9,0,0,6.66840171814,0.0
2018,1,31,9,0,0,3.23008489609,0.0
2018,2,1,9,0,0,5.38159656525,3.4
2018,2,2,9,0,0,1.00357437134,11.0
2018,2,3,9,0,0,2.17969584465,0.6
2018,2,4,9,0,0,4.88094949722,0.0
2018,2,5,9,0,0,4.32116031647,0.0
2018,2,6,9,0,0,2.34696912766,0.0
2018,2,7,9,0,0,4.15421628952,0.0
2018,2,8,9,0,0,5.34982442856,0.0
2018,2,9,9,0,0,5.48937654495,0.0
2018,2,10,9,0,0,3.62427759171,11.0
2018,2,11,9,0,0,2.06627345085,2.2
2018,2,12,9,0,0,6.2533364296,0.0
2018,2,13,9,0,0,5.00345563889,0.0
2018,2,14,9,0,0,3.42486429214,0.0
2018,2,15,9,0,0,4.66257715225,0.0
2018,2,16,9,0,0,4.55334615707,0.0
2018,2,17,9,0,0,2.90679335594,2.4
2018,2,18,9,0,0,6.00359773636,0.0
2018,2,19,9,0,0,4.11493301392,9.8
2018,2,20,9,0,0,0.264604508877,85.6
2018,2,21,9,0,0,1.29954504967,9.4
2018,2,22,9,0,0,3.49960517883,0.0
2018,2,23,9,0,0,4.07582378387,0.0
2018,2,24,9,0,0,4.90530729294,0.0
2018,2,25,9,0,0,3.96871304512,18.6
2018,2,26,9,0,0,1.64993751049,2.0
2018,2,27,9,0,0,1.7973562479,2.2
2018,2,28,9,0,0,1.34312522411,0.0
2018,3,1,9,0,0,3.74927282333,0.0
2018,3,2,9,0,0,1.01582670212,3.8
2018,3,3,9,0,0,3.92573642731,0.0
2018,3,4,9,0,0,3.66569137573,0.0
2018,3,5,9,0,0,3.29320836067,0.2
2018,3,6,9,0,0,1.13482713699,35.4
2018,3,7,9,0,0,1.14589178562,2.0
2018,3,8,9,0,0,2.45932006836,0.2
2018,3,9,9,0,0,1.30685162544,3.0
2018,3,10,9,0,0,3.46131086349,0.0
2018,3,11,9,0,0,4.02289009094,0.0
2018,3,12,9,0,0,4.21733570099,0.0
2018,3,13,9,0,0,2.65135073662,0.0
2018,3,14,9,0,0,3.6385512352,0.0
2018,3,15,9,0,0,4.41448783875,0.0
2018,3,16,9,0,0,3.64774465561,3.2
2018,3,17,9,0,0,1.21541011333,0.2
2018,3,18,9,0,0,3.13729739189,0.0
2018,3,19,9,0,0,2.69607400894,0.0
2018,3,20,9,0,0,3.64443874359,0.0
2018,3,21,9,0,0,2.92715001106,20.8
2018,3,22,9,0,0,0.635204136372,13.0
2018,3,23,9,0,0,0.619258821011,2.8
2018,3,24,9,0,0,2.08289694786,5.2
2018,3,25,9,0,0,2.63268518448,0.0
2018,3,26,9,0,0,3.58028912544,0.0
2018,3,27,9,0,0,2.74938797951,0.0
2018,3,28,9,0,0,3.4809627533,0.0
2018,3,29,9,0,0,2.33625197411,0.0
2018,3,30,9,0,0,3.36097764969,0.0
2018,3,31,9,0,0,2.75630283356,0.0
2018,4,1,9,0,0,3.09140348434,0.0
2018,4,2,9,0,0,2.29970359802,0.0
2018,4,3,9,0,0,2.94244980812,0.0
2018,4,4,9,0,0,2.54317808151,0.0
2018,4,5,9,0,0,2.84798908234,0.0
2018,4,6,9,0,0,3.54300236702,0.0
2018,4,7,9,0,0,0.921692550182,0.0
2018,4,8,9,0,0,1.69038689137,0.0
2018,4,9,9,0,0,0.777904987335,31.4
2018,4,10,9,0,0,0.298514395952,19.0
2018,4,11,9,0,0,0.555558264256,15.2
2018,4,12,9,0,0,1.15265476704,0.8
2018,4,13,9,0,0,1.46637558937,0.0
2018,4,14,9,0,0,1.10470986366,0.0
2018,4,15,9,0,0,2.06280040741,12.0
2018,4,16,9,0,0,1.39027118683,3.4
2018,4,17,9,0,0,2.57065033913,3.6
2018,4,18,9,0,0,2.0037214756,0.0
2018,4,19,9,0,0,2.64847874641,0.0
2018,4,20,9,0,0,2.52755498886,0.0
2018,4,21,9,0,0,1.76974284649,0.0
2018,4,22,9,0,0,2.00488877296,0.0
2018,4,23,9,0,0,2.13666033745,0.0
2018,4,24,9,0,0,1.85931706429,0.0
2018,4,25,9,0,0,1.97219955921,0.0
2018,4,26,9,0,0,2.05978012085,0.0
2018,4,27,9,0,0,1.53139686584,0.0
2018,4,28,9,0,0,0.354804754257,15.2
2018,4,29,9,0,0,0.89230453968,0.2
2018,4,30,9,0,0,0.404028952122,9.0
2018,5,1,9,0,0,1.72036576271,0.6
2018,5,2,9,0,0,1.57337760925,0.0
2018,5,3,9,0,0,1.75367128849,0.0
2018,5,4,9,0,0,1.40929353237,0.0
2018,5,5,9,0,0,0.959802925587,2.6
2018,5,6,9,0,0,1.79634690285,0.0
2018,5,7,9,0,0,2.28134322166,0.0
2018,5,8,9,0,0,2.12405467033,0.0
2018,5,9,9,0,0,2.44166469574,0.0
2018,5,10,9,0,0,0.885241448879,0.0
2018,5,11,9,0,0,1.48591303825,1.4
2018,5,12,9,0,0,0.495576381683,4.6
2018,5,13,9,0,0,0.331242471933,10.6
2018,5,14,9,0,0,0.699081301689,1.6
2018,5,15,9,0,0,0.729547739029,0.2
2018,5,16,9,0,0,0.12145973742,25.6
2018,5,17,9,0,0,1.15197837353,0.0
2018,5,18,9,0,0,1.53457331657,0.0
2018,5,19,9,0,0,1.4278781414,0.0
2018,5,20,9,0,0,1.8880841732,7.6
2018,5,21,9,0,0,1.1683371067,0.0
2018,5,22,9,0,0,1.2713663578,34.2
2018,5,23,9,0,0,0.871445655823,10.4
2018,5,24,9,0,0,0.847052574158,7.6
2018,5,25,9,0,0,1.00063323975,0.4
2018,5,26,9,0,0,0.893736183643,3.6
2018,5,27,9,0,0,0.745193481445,9.2
2018,5,28,9,0,0,0.467554062605,2.0
2018,5,29,9,0,0,0.968836069107,0.0
2018,5,30,9,0,0,0.953349888325,0.0
2018,5,31,9,0,0,0.958716630936,0.0
2018,6,1,9,0,0,1.0106511116,0.2
2018,6,2,9,0,0,0.723290801048,0.2
2018,6,3,9,0,0,0.489602416754,4.4
2018,6,4,9,0,0,0.375606685877,7.8
2018,6,5,9,0,0,0.859408795834,7.0
2018,6,6,9,0,0,0.5410618186,2.8
2018,6,7,9,0,0,0.366681575775,13.4
