Id,θs,θr,λch,Ψch,Ks,Φ,Ψga,θs_Min,θr_Min,λch_Min,Ψch_Min,Ks_Min,Φ_Min,θs_Max,θr_Max,λch_Max,Ψch_Max,Ks_Max,Φ_Max,Nse,Nse_θΨ,Nse_KΨ,Rmse,Rmse_θΨ,Rmse_KΨ,KunsatModel
11.0,0.5825351525229879,0.0,0.13581212349308355,280.6406542010935,0.01982309681495935,0.6176673831578948,480.03912086536747,0.4400880105,0.0,0.087719298,90.0,1.0e-8,0.0,0.586784014,0.2,0.709219858,856.0,0.032000224,0.0,0.863384904820784,0.9484943118073472,0.7782754978342208,0.019001178140768796,0.033156989719733,0.004845366561804593,0.0
12.0,0.5188978593232427,0.0,0.11517654291187163,302.4697734543377,0.009757175741721419,0.5831224305263158,527.2658440830955,0.41547473175,0.0,0.087719298,90.0,1.0e-8,0.0,0.553966309,0.2,0.709219858,856.0,0.014647609,0.0,0.8847927061067956,0.9251987816246616,0.8443866305889296,0.016952865413241664,0.03201103681902582,0.0018946940074575113,0.0
13.0,0.5128188152026353,0.0,0.087719298,282.8655143230544,0.030924045360252023,0.5461422631578947,506.8007132927681,0.38912636249999993,0.0,0.087719298,90.0,1.0e-8,0.0,0.5188351499999999,0.2,0.709219858,856.0,0.06171552299999998,0.0,0.786534564007979,0.943917236673321,0.6291518913426373,0.015737915574834838,0.02057508319695212,0.010900747952717556,0.0
14.0,0.5235746649999984,0.0,0.08771929800000117,309.95170765045975,0.028268257357311772,0.5511312263157896,555.3301430168772,0.39268099875000007,0.0,0.087719298,90.0,1.0e-8,0.0,0.523574665,0.2,0.709219858,856.0,0.061072554,0.0,0.7560395012382802,0.9457943908296188,0.5662846116469415,0.016221506058381522,0.020985950109270856,0.011457062007492186,0.0
15.0,0.4907184721121635,0.0,0.0877192980000022,315.48856026298535,0.03591267365503178,0.5227535810526316,565.2503372835417,0.3724619265,0.0,0.087719298,90.0,1.0e-8,0.0,0.496615902,0.2,0.709219858,856.0,0.057632394,0.0,0.8554864330672691,0.9142650249657355,0.7967078411688028,0.015657251971177066,0.023125654791280804,0.008188849151073326,0.0
16.0,0.48515904253231035,0.0,0.08771929800000612,307.86171473571386,0.005492292473501498,0.5269538978947369,551.5855723769895,0.37545465225,0.0,0.087719298,90.0,1.0e-8,0.0,0.500606203,0.2,0.709219858,856.0,0.007963784,0.0,0.8925358902087618,0.9238459811684178,0.8612257992491058,0.012763747501450429,0.024530135895768565,0.0009973591071322913,0.0
17.0,0.4599094069999999,0.0,0.0877192980000005,353.31043988043416,0.03009744999522063,0.4841151652631579,633.0145382822717,0.34493205525,0.0,0.087719298,90.0,1.0e-8,0.0,0.459909407,0.2,0.709219858,856.0,0.041177290000000005,0.0,0.8968975844400184,0.9014709759149716,0.8923241929650654,0.014185639384101023,0.023688123612275284,0.0046831551559267616,0.0
18.0,0.4518120739999995,0.0,0.08771929800000006,382.52589836912017,0.03819959705880179,0.4755916568421053,685.3589014213263,0.3388590555,0.0,0.087719298,90.0,1.0e-8,0.0,0.451812074,0.2,0.709219858,856.0,0.072044918,0.0,0.7419247656873968,0.8168749950903914,0.6669745362844022,0.020329794518870806,0.02816492356142224,0.012494665476319373,0.0
19.0,0.47345661901751257,0.0,0.087719298,362.4520585901434,0.018366959930075394,0.5201022852631579,649.393271808056,0.37057287825,0.0,0.087719298,90.0,1.0e-8,0.0,0.494097171,0.2,0.709219858,856.0,0.049317878999999995,0.0,0.5735736714527541,0.7338893984017054,0.4132579445038026,0.020600459963980088,0.030911421400022756,0.010289498527937422,0.0
20.0,0.45560413700742824,0.0,0.087719298,790.4084963361834,0.010862529290183845,0.4996231021052632,1416.148556300677,0.35598146025,0.0,0.087719298,90.0,1.0e-8,0.0,0.474641947,0.2,0.709219858,856.0,0.027730400999999995,0.0,0.5884555133134758,0.7375723586140328,0.43933866801291865,0.016494943732666197,0.026971845636497533,0.00601804182883486,0.0
21.0,0.45161205971153945,0.0,0.087719298,855.9999999999895,0.013650132559720744,0.5158148052631579,1533.6666670619534,0.36751804875,0.0,0.087719298,90.0,1.0e-8,0.0,0.490024065,0.2,0.709219858,856.0,0.048054649,0.0,0.26482487821936584,0.2613900456525049,0.2682597107862267,0.025062021021600146,0.039006233724909425,0.011117808318290864,0.0
22.0,0.5632686325451958,0.0,0.0877192980000002,856.0000000000002,0.001733833936888139,0.6284937252631579,1533.6666670619725,0.44780177925,0.0,0.087719298,90.0,1.0e-8,0.0,0.597069039,0.2,0.709219858,856.0,0.005700489,0.0,-0.002326590941284401,-0.2999739154504799,0.295320733567911,0.027935195589994213,0.05454454628302711,0.0013258448969613154,0.0
23.0,0.60609287651164,0.0,0.08771929800000013,855.9999999999986,0.016687559985717804,0.6832763557894738,1533.6666670619697,0.4868344035,0.0,0.087719298,90.0,1.0e-8,0.0,0.649112538,0.2,0.709219858,856.0,0.070048891,0.0,-0.10986796508322971,-0.41716037641427484,0.1974244462478154,0.0389502344653376,0.06130897752867827,0.01659149140199693,0.0
